,Text,Annotator_0,Annotator_11
44,"That's the problem, we've allowed the FBI to concoct any story they want, and prosecute it. mueller and Trump for instance, and comey and Martha Stewart. And police do the same, a couple letting their 15 year old smoke pot to control seizures gets arrested, son taken away, and the police telling them the family is lucky, they could have filed other charges. ",1,0
45,RT @dbongino: People Who Still Believe in the Russian Collusion Hoax: ,1,0
46,"It was Ohio's Governor Pancake that let this tragedy happen & the sad part is Sleepy DeWine won't be any better, in Ohio it's always pick the best crook out of the 2, we haven't had a good governor in this state since Jim Rhoades... ",1,0
47,You are a liar. You haven’t won anything. I proved you wrong.  ,1,0
48,"Hezbollah ""Shiite"" Fought alongside Syria to protect all Syrians Including Christians, from ISIS. US and Israel armed and supported ISIS. We are The evil empire.",1,0
49,Sulfuric Acid Bath ,1,0
50,Call me all the names you want but trump still has no facts.  You should be embarrassed for repeating this idiocy.,1,0
51,His haircut almost ruins the performance,1,0
52,"He's  a professional  ?? Come on, my parrot cries more believable.  And the parrot can bark ! Woof Shep, go back to your doghouse& out of the rain",1,0
53,"5 July 2018 - Del Bigtree, producer of VAXXED, joins to look at the new moves to persecute doctors ex post facto, nullify the doctor-patient relationship with bureaucratic mandates on vaccination and destroy individual and parental choice. Pro-choice Democrats? Right. - https://youtu.be/V8lWVgEtzBg",1,0
54,May's ineptitude & embracing of islamosfacist EU 4th Reich rule over UK makes one want to VOMIT,1,0
55,"I like how people like Asian Jake Paul are allowed to stay on YouTube, but people like Sargon of Akkad should be banned. This cunt should change his name to Twicegum because of how two-faced he is. ",1,0
56,"I really wish him and all his relatives would just get arrested and sent to GITMO, for their executions!!! Evil does not belong on Earth. It belongs in the ground!!!",1,0
57,Imagine that: A Leftist lying about their working class background... ,1,0
58,WOW  WTF. Fucking police a government institutions complicit in this demonic evil. This explains a multitude in regard to increase in crime and other issues. This institutional cancer can only be cut out in one way and its not peaceful protest,1,0
59,You no good cunt fck off,1,0
60,ISIS Warns of Knife Attack 'Surprises' at Concerts ,1,0
61,"Mark Levin actually came out in support on Trump just before the convention, and Ben Shapiro lost his shit over it, stopped retweeting him etc, was at odds with him. Ben Shapiro said, right up until Nov 8 ""Trump must be stopped by any means necessary"" But now insinuated himself back in... slimeball",1,0
62,President Trump should Appoint “NOBODY” to be the UN Ambassador and explain that it’s becuz the UN is full of LOSERS 🇺🇸😎🇺🇸,1,0
63,Its time to shoot the leftist on sight.,1,0
64,"I say if these pieces of shit Republicans don't confirm kavanaugh, we should all vote Democrat so we can get the civil war started before we get any weaker.",1,0
65,White bitches thinking they are some Arabic princesses or someshit.,1,0
66,"Well, then you should be able to demonstrate it. Or are you just stupid?",1,0
67,Looks like the Chinese piss all over the US and ostensibly the rest of the west when it comes to vaccine safety.  Ever heard of a US vaccine manufacturer being sued in the US by HHS or CDC since 1987??,1,0
68,totally fake: the Wall has gates that pregnant illegals are walked through ,1,0
69,"Yes, we became idolatrous people, worshiping strange gods, instead of the one true God. ",1,0
70,"Congratulations to @JudicialWatch and @TomFitton on being successful in getting the Carter Page FISA documents. As usual they are ridiculously heavily redacted but confirm with little doubt that the Department of “Justice” and FBI misled the courts. Witch Hunt Rigged, a Scam!",1,0
71,The Apostate Prophet presents: Mohammed's Rape Culture ,1,0
72,"So if summary execution is illegal, why aren't unborn children protected by the same laws? ",1,0
73,Wouldn't that be interfering with another countries election? Just like he tried to fuck over Trump.,1,0
74,This should have been done a long time ago and the US should quit supporting an organization who only sees the US as a money spigot.,1,0
75,"LOL, if Warski woke up tomorrow in Cantwell's position, he'd hang himself.",1,0
76,Did the retard who fucked your mother teach you anything   Obviously he did,1,0
77,White women have the civilized manners to murder their own babies before they leave the womb and without gender preferences!,1,0
78,The comments were quite disturbing. What's really sad is that the article was written 3 years ago. Things have only gotten worse for the citizens of UK.,1,0
79,Top earner takes home nearly $400k to guilt trip white people into accepting dindus ,1,0
80,Doing the Work Americans Won’t Do: Illegal Aliens Indicted on Felony Charges After Voting in 2016 Election http://www.thegatewaypundit.com/2018/03/work-americans-wont-illegal-aliens-indicted-felony-charges-voting-2016-election/,1,0
81,The ones at O'Vomit Rally are probably piad.  They advertise on Craig's list to fill seats for $8.00 an hr.  They did it during Hillary's 2016 Prez run since she couldn't draw a crowd.  These ppl are pathetic scumdogs.,1,0
82,"Fuck roosh, tried to like the guy but he seriously seems like a cunt",1,0
83,Nick doesn't need full retard Downie @realjamesallsup ,1,0
84,I don't wish death on anyone but I would love to see these treasonous pieces of shit swing and rot from the rope.,1,0
85,What is YOUR level of science education?  The only way to debunk science is with MORE SCIENCE.  Ignorant undegreed fools need not apply.,1,0
86,"India is run by corrupt, incompetent and Constitutionally Certified Congenitally Backwards promoted for their criminal files by the Khangress while Modi Sarkar  https://www.dailyo.in/politics/diplomacy-government-lok-sabha-polls-2019-bjp-congress-narendra-modi/story/1/21577.html",1,0
87,Agreed. Traitors deserve to be shot. PERIOD.,1,0
88,USE it ON them before they use it ON YOU! ,1,0
89,"5. Question #2 Has the Liberal #Blaxit Movement spoken to any American or African immigration attorneys about this matter?  Question #3 Is the Liberal #Blaxit Movement seeking dual citizenship or are they voluntarily, by free choice applying for foreign nationality with the intention to renounce their American citizenship?",1,0
90,"It's not our corrupt politicians that are going to destroy America, it's the mindset of the American people that elect these unscrupulous criminals.",1,0
91,"The cochlear implant thing is so bizarre and frankly, insane. But then again, they demand it be spelled ""Deaf"" with a capital D so what's that tell you?",1,0
92,Shoot him in the face so I can steal his beautiful turtleneck sweater.,1,0
93,"""We call on antifascists and liberationists around the world to strike at fascists where they live on Heather Heyer's birthday, May 29. Its time for antifa to grow beyond purely reactive tactics, to improvise and evolve"" https://www.facebook.com/CentralArkansasAntifaOfficial/posts/2026944684243182",1,0
94,"There's nothing envy, bitch. You're a fucking nobody.",1,0
95,I can't help but recall all of the demeaning comments I have heard and seen about Key Board Warriors. ,1,0
96,"Race-Baiter Spike Lee Rips PreZ Trump At ""Blackkklansman"" Premiere - ALEX JONES INFOWARS https://youtu.be/P9vWAFbJAjU",1,0
97,"Little boy lover? Like, the 'pool boy' young men? Or real little boys! JFC! These people are the stuff of nightmares!",1,0
98,"Because Twitter is artificially inflating it. Less than 7,000 tweets is not a trend for an edge provider like them.",1,0
99,...while drug dealers were openly working their street corners 2 blocks away from the event. Second favorite is the civil rights leader scoffing at officers who say they are hindered... ,1,0
100,OK I'm going to try this. Obama and his administration = criminals. DOJ and FBI stood side by side with the administration? By choice they chose to be criminals? They know Schiff is under suicide watch and McCain has a brain tumor?  ,1,0
101,PREACH. Is there a list of groups that have disavowed Kessler at this point? Who still needs to be warned? ,1,0
102,Its in here. ,1,0
103,http://www.investmentwatchblog.com/twitter-is-deeply-sorry-for-refusing-to-take-down-pipe-bomb-suspects-tweet/  Oh really? GAB did remove the antisemitic's account and still that wasn't enough. ,1,0
104,"CosmoCat was a loser & Liar, just like EyeSpy and that Cheshire Cat... No Outside Comms...  they were all fakes...",1,0
105,I made myself listen to @Ricky_Vaughn99‍ one more time on FTN.  ,1,0
106,Just in case there was any doubt that the democrats are communists.,1,0
107,Messenger of God Sued ,1,0
108,So you have made a conclusion about material you have not read and you believe it to be accurate? I have a bridge to sell you.,1,0
109,"That ship sailed a long time ago...  If the blue wave of death comes, it's because sensible people are outnumbered my morons and midwits.",1,0
110,Pay your child support you fucking deadbeat.,1,0
111,No liberals welcome on my property! ,1,0
112,LOL  Only took 1 day for the New Hampshire Dems to educate Atty. Gen. Holder on the law and reverse his only NH resident should vote statement. Explaining that without out of state students Dems will not win any seats in NH,1,0
113,"Read your buy-bull, dumbass! ""for in the day that thou eatest thereof thou shalt surely die."" - didn't happen. Instead Adam lived to be 930 years old & gave birth to humanity. Also, the snake said, 'you won't die but instead your eyes will be opened' - which is exactly what happened & your lying god even confirms that what the snake said would happen did happen!",1,0
114,"The best ideology is to burn everything to the ground, or as I like to call it, postmodernism. ",1,0
115,AJ is no patriot. See Q posts.,1,0
116,"I resent them as the majority of them are #BASHTHEFASH types who beg for donations while doxing right-wingers, but doctors who provide their treatment are the snakes oil salesman of the 21st century.",1,0
117,the dimms have given this whore more air time than the Las Vegas shooting,1,0
118,I suppose I can be ignorant at times. But I am at the opposite end of liberal. ,1,0
119,"""David Davidyan, professor at the American University of Armenia accuses all Jews in general and Israel in particular of anti-Armenian sentiments.""  Armenia admits to anti-Semitism: Israel declared the enemy of Armenians https://news.az/articles/world/128229",1,0
120,Dr Eugenia Cheng - another Chink from Roedean.,1,0
121,Fucking disgusting Antifa Democrats. ,1,0
122,"Jesus physically Whipped Jew loan sharks from the Temple, with a corded whip.  It was approximately 40 acres of Kosher usurers and snakes.  That’s when the hit on his life went out.   ",0,1
123,I know you're correct friend. ,1,0
124,"So your ""great country"" killed him and you still say it is a great country? what was he doing in Iraq anyway? maybe one of those wars your ""great country"" has made up that has murdered millions? what a great country! /s Not like other countries are better anyway, but your posts doesn't make sense.",1,0
125,"So, like in many cases of smearing their opponents, the left presents a term by a definition which IS morally questionable or even reprehensible. And then blankets that term over people which it can apply to in a CERTAIN sense.",1,0
126,Vote for Democrats and you'll get more of this kind of hypocrisy. https://www.youtube.com/watch?v=0WiQRBN8igE   Bimbo Eruptions. Believe all women? Not when Bill is doing the raping.,1,0
127,When will this asshole figure out that he's Creepy Porn Lawyer and no one wants him around cause he's tooooooo slimy??,1,0
128,But who are the Conservatives in the UK? because the 2018 Tory party is a few degrees left of 'Tony  WARMONGER Blair'  and New Labour.,1,0
129,"Roseanne was #Killed before the fake twitter rant posted. She's DEAD. There's no proof that she's alive except for this rabbi's fake soundcloud ep. You tell me if this sounds like Roseanne, like at all?? She's been dead for months. You all let her down https://soundcloud.com/user-642636263/episode-1-roseanne-barr",1,0
130,Just like a weight lifter on steroids. Your so focused on one thing you lose sight of what's important. 😎👍,1,0
131,I highly doubt you pray for is. I am calling you a liar. Go Nazis!,1,0
132,"The left are so damn desperate AND predictable,  at this stage .. attacking themselves to gain votes",1,0
133,"They are all freaks in Labour, except for Frank Field, he is a very decent politician, just on the wrong side.",1,0
134,Well until these folks on the bottom are tried for treason expect more to show up in the midterms & pray to God no more gets elected!,1,0
135,She is a globalist Sikh sellout war mongering makaka  pig.,1,0
136,Hitler was trying to prevent this degeneracy.,1,0
137,Ireland is run by England /Jews.  The Irish make no law or policy.  Nor does Sinn Fein Or Ira. ,1,0
138,www.stltoday.com/news/boy-scouts-plan-a-name-change-as-girls-join-the/article_bea1d36a-c918-5596-ad5b-3400a64561da.html  ,1,0
139,"""Protecting?""  That would imply leftist mobs want to destroy stuff, wouldn't it?  But CNN told me leftist mobs are a myth?  So, which is it, ""The Hill Tweets?""",1,0
140,So if I want to call some ignorant dude a 'stupid cunt' I need to say  'stupid front hole'?  I don't think so.,1,0
141,"I don't doubt that, even for a second.  Obama was groomed. The proof is right in front of us, but the ""educated"" ignore it.  Even my crazy old mom saw it before he was ever elected by people smarter than she.",1,0
142,huge victory for the attempt to sculpt our kids into adrogeny (sp?),1,0
143,"JUST IN: Trump Is Opening Up Obama’s Secret Record, Will Reveal What All Of America Deserves To Know. #QAnon https://rwnofficial.com/just-in-trump-is-opening-up-obamas-secret-record-will-reveal-what-all-of-america-deserves-to-know/",1,0
144,Muhhhh! oh vey!  British woman simply notices the Prince is about to marry a baboon and is punished by the jews and forced to apologize.  http://www.foxnews.com/entertainment/2018/01/14/ukip-leaders-model-girlfriend-suspended-after-reported-racist-meghan-markle-remarks.html,1,0
145,hitler wass a fag michael,1,0
146,"If you're predictable, you're NOT #radical.",1,0
147,He & that bald headed dyke should be brought up on murder charges for their involvment.  Turns out the Dyke Lesbo had been harrassing Nicolas Cruz the supposed shooter in school and bullying him.   I hope this is true.   Henry Makow is usually accurate.,1,0
148,I'm pretty sure one could conceivably say something crazy enough even here that would have them getting that proverbial knock on the door. ,1,0
149,Witches pick their latest target: Kavanaugh! Marie Laveau has a following. This could be baaaaaad. There are alot of WITCHES out there. Liberal witches. One good thing Kavanaugh has going..... His name isn't JACK!!!!,1,0
150,U dumb cretin......U don't know who your talking to,1,0
151,He barely looks fit enough to fight his way to the senior Buffet....,1,0
152,it was an exercise in female privilege. That women went around town performing chemical attacks and no one knocked her out,1,0
153,Because men prefer to have physically intimate relationships with objects named after women. :-),1,0
154,#BigTech really doesn't know what its done. ,1,0
155,The fact that Democrats in Washington and in the media wake up every morning still crying about the fact that Trump is still president brings a smile to my face. ,1,0
156,"This law is going to be immediately challenged in court, as it should be, and CA will lose. Equal protection under the law is still a thing. Californians need to wake up and get rid of these tyrants in their capitol.",1,0
157,PLEASE SIGN THIS PETITION ON BEHALF OF GOD'S PEOPLE IN BRITISH ULSTER NOW UNDER THE THREAT OF A LEPRECHAUN LANGUAGE ACT!!!!!!     DON'T LET THE VERMIN GET AWAY WITH CULTURAL GENOCIDE!!!!!! ,1,0
158,the H&M thing pissed me of so much I had to :)  at least yours instills fear in the heart of the shills! ,1,0
159,"Ten ""squats"" were destroyed or evacuated in Notre-Dame-des-Landes. This Tuesday, clearing work was to take place there. But opponents attacked the mobile gendarmes. Police used offensive grenades. One was picked up by a 30-year-old man. ",1,0
160,Nuke NK over wow not a word from the Libtards .,1,0
161,HANG 'im ,1,0
162,Psychopath John Brennan Must Be Prosecuted And Jailed,1,0
163,So that's how to get you back. Where's my damn Twitter pop off file?,1,0
164,Now the web site that originally wrote this report is really living up to their name by broadening the MeToo movement to include men who are bad boyfriends or who have subpar social skills... ,1,0
165,"Hi all, I'm one of many who have come here recently because of the rampant censorship on Google, Facebook, Youtube, and Twitter. They are making up excuses for this, such as ""fighting fake news"". It should be for us to decide for ourselves what is real news and fake news by actually thinking for ourselves. That's how free speech works. Feel free to follow me.",1,0
166,"20 years ago Prof. Sowell pointed out in his book on the subject, no matter how often the Left's policies backfire and hurt people, the Left are never held accountable, so no-one learns to spot that Leftism is cancer.",1,0
167,"Thankfully, she's fat and black, so heart disease will probably win that race.",1,0
168,And the left has time to call Trump crazy? http://www.climatedepot.com/2018/01/04/al-gore-bitter-cold-is-exactly-what-we-should-expect-from-the-climate-crisis/,1,0
169,"Hmm all a bit quiet over on the Alt-Light... Israel collude with the UN to send 16,000 african migrants to western countries - let zionist Tommy Robinson explain this, and any cunt who wants to keep arguing Israel are on our side. ",1,0
170,You could replace the word Muslim with the word Dog and upload it as a meme. Just as a suggestion,1,0
171,I've now been banned from commenting on ABCnews.com and The Hill. ,1,0
172,OMG Trump colluded with Russia to promote soccer!!,1,0
173,"Serious traction, like with 35's BFG KM2'S in the mud kinda traction. But I truly think that the onslaught of multi culture being pushed in our universities has backfired. For those brainwashed few who will jump ship, let them jump. Snowflake DNA lacks backbone and critical thinking anyway. ",1,0
174,"If you’re referencing the post about pornography (under which this thread is not located), then I was not attacking just your masculinity (if, as it seems, you are supporting pornography): I was attacking your personhood.",1,0
175,I don’t think the US Senators want to hear the horror stories from this man. Demo-communists don’t give a crap ,1,0
176,Congratulations! Trump is now THE SWAMP. Republicans are no better than democrats the swamps are eating Americans alive. 50 years from now kiss this country bye bye if it stays like this ruled by the swamps.,1,0
177,Question: How many people would have to die before you support gun control? ,1,0
178,"Absolutely, though hopefully not THAT elder.   ",0,1
179,For all the bitcoin shittalkers here... why don't you short it with 100x leverage?  Good luck https://www.bitmex.com/register/wpAIXO,1,0
180,"Who is the clown behind him, holding the gun to his back?",1,0
181,Looks like the #BlueWave is off to a great start! #Democrats2020 🤣🤣🤣🤣 ,1,0
182,"Mmhmm suuure. If youre trying to scare me, you fail better people than you have tried. Run along now kid, school should be starting soon. Clearly you need it.",1,0
183,"All federal reserves are incompetent, because there is no oversight. Its just a bunch of shoulder rubbers. My uncle was one of them.  ",1,0
184,Does Bette Midler advocate violence against children also? Or just United States Senators?  ,1,0
185,I hope Trumps give's him the look that sends him to his safe space. Hes playing chicken with a pitbull. Try it.,1,0
186,"#Cali has become a total joke. We need to elect Erin Cruz, Sabato, Navarro or it's over. ",1,0
187,"I have one friend who still complains, #NeverTrump con, and in our latest sparring match I routed him thoroughly. He's a shit debater so no feather in my cap but his diatribes have become less and less frequent.",1,0
188,daily reminder @Ricky_Vaughn99‍ is a faggot.,1,0
189,Time to chop off his weinie and beans.  Let him SIT when he pees!   ,1,0
190,"""there's nothing cool about getting killed in combat in this day and age."" ",1,0
191,Hmm.. maybe that could be considered a suicidal tendency these days.. ,1,0
192,If the Right would start asking questions we would start the process of stripping the legitimacy from the Left. ,1,0
193,If she would have only pulled back and slapped that POS. That would be truly news worthy,1,0
194,"MN Congressman/DNC Chairman Keith Ellison:  “I just found the book that strikes fear into President Trump.” 😂  What an idiot. 🙄 Democrats are not only delusional, they really ARE stupid!",1,0
195,Except Conservatives don't get disowned by families or bullied in school.,1,0
196,"Anyone against Trump’s America First doctrine is either a deep Russian mole, ala SALT, The        Amerikans or that Kevin Costner movie(I can’t remember the name) or a poorly educated moron. ",1,0
197,"In both cases, the Bush clan was the lesser of two evils. Notice I said two evils! Trump was the first GOP candidate since Reagan second term for which I could vote without having to hold my nose! Reagan keeping promises is when my brainwashing wore off. ;)",1,0
198,I read your timeline and there's nothing entertaining there. You may well get bored because you are fucking boring.,1,0
199,"I used to read newsweek in the 80s & 90s. They started going sodomite coddling in the late 90s and early 2000s, i stopped reading them because of that.   They were also becoming openly anti Christian around the same time period.",1,0
200,"""I don't have an argument so I will call him a JOO""",1,0
201,Wtf pedo Anderson Cooper member of CNN ,1,0
202,"That doesn't do much for two-thirds of Americans who don't even have $1,000 saved up.",1,0
203,"Go back 2 the STUDY & read the entire write-up again, so u can c the point of this STUDY, which u seem 2 b entirely missing. ",1,0
204,"@RadCharlie‍ Your family members are frauds then. Congratulations you have frauds in your family. Not something I would make known. Stealing tax dollars to pay their salaries. Fucking Nazi losers. Yeah, we know who started NASA and they never went to the Moon. Gravity is a Hoax. Want to debate. Bring it son!",1,0
205,Well at least he's not a racist ....I just threw up in my mouth thank you,1,0
206,Abolish the public school system,1,0
207,"My ford GT90 would beat your Challenger SRT in any race, fucking try it fascist.",1,0
208,Hey ,1,0
209,He is such a tool,1,0
210,Iran: Regime Affiliated Institutions Create Problem for Producers ,1,0
211,Deadly twin blasts rock central Baghdad @AJENews  http://aje.io/8zs3v,1,0
212,"99% Of Californian liberals and 200% of the Illegals flowing in say ""YES"". #CALEXIT NOW. ",1,0
213,"I will look her up, I'm not American so don't know much about your politicians. I think they are very similar to ours. I read about Kayne story and he has my total respect. I hope he doesn't fold.",1,0
214,All the MAGA patriots should send tweets to the DNC to keep the Russian probe alive... lol...,1,0
215,Go go go Trump get rid of the trash ...frankly Mr Strzok we don't give a damn about your opinion !!!!!🤡🤡🤡🤡🤡🤡🤡  take Robin Williams  advice rope is cheap !!!!!! Bye bye,1,0
216,This is Japan's refugee intake. ,0,1
217,"This is not a bad thing.  The ""kneelers"" want exposure.  They want the cameras focused on them.  Now they won't have that.  I love football.  Always have.  The Left wants me to hate it.  They want to provoke a visceral reaction, foment a boycott, and ultimately kill the sport.  I'll be damned if I'll help them do that.",1,0
218,"Scarborough is the oh-so brilliant insider who sneered at the Tea Party that routed Obama in 2010, assured us the GOP would lose in the 2014 mid-terms over gun control (they won record seats), and Trump had zero chance in 2016.   Oh, yeah, he's plugged in. https://kek.gg/u/4cvW",1,0
219,Actually I'm also a layman cleric. You are the marxist demanding your lesbian democracy!,1,0
220,"I'm not wrong though eh? Fag... You do get fucked in the ass right? And your butthole is worn out and loose. From all the dicks you've had ran up in poor, poor tattered rectum of yours, right? I mean, at this point, there's got to be, like, zero elasticity in that bad boy... ",1,0
221,We pay for our own destruction. Think about that? Really think about that! Vote with your dollars and your feet anytime you can to starve those who ultimately seek out destruction!,1,0
222,"Vote?  Try Guillotine. Time for talk is Long gone and the politicians are the one who lead us all down this path, so don't feel for them, that's what they want.",1,0
223,"When I say Cohenses I mean, of course, the usual suspects but certain names associated with ""Neathergate"" spring to mind. Peter Mandelshon, Barbara Roche, Jonathan Portes and Jack Straw. If the foreign prisoner story came to light too soon their jewish subversion (""let's destroy Britain with mass immigration"") might never have gotten off the ground.",1,0
224,Hello fellow #Qanon peeps! Twitter suspended be for offending ugly bitch @ChelseaClinton! what a LOSER BITCH!,1,0
225,"Put Giuliani in his place. We won't be able to keep up with his progress, day 1",1,0
226,'Might as Well Roll It Straight Into the Trash Can': Tom Cotton Shoots Down Expansive 'Gang of Six' DACA Amnesty - Breitbart http://bit.ly/2DIBKw1,1,0
227,We need to force Congress to solve this crisis! ,1,0
228,I'm totally willing to accept any genuine critique. You're critique has a very truthful tone to it. ,1,0
229,They can all go suck a bag full of San Fran fag dicks ...,1,0
230,this is why we had segregation  ,1,0
231,The Democrats Are Going Down And They're Taking The MSM With Them !,1,0
232,"Cause you go ""Jews did 9/11""",1,0
233,Saying “God Bless You” when someone sneezes is Islamophobic according to this University... ,1,0
234,wasn’t all this crap a CIA psyop to confuse the Russians?,1,0
235,OH ..I WANT AN INVESTIGATION ON THIS!!!!....TO SEE HOW FAST IT SPIT AND KICK THEM IN THEIR DEMON RATS FACES!!,1,0
236,America is waking up!  Sad it's at the expense of a television series and jobs were lost!  But eyes are opening now!,1,0
237,almost like they were doing shitty on purpose before or something. weird... ,1,0
238,"""Shirking of our responsibilities""? Who says they're OUR responsibilities? ",1,0
239,I support their rights. I also support them having a 90 lb. Jack hammer shoved up their ass if it makes them feel like we care. 👍😎,1,0
240,"The Body Count Grows,",1,0
241,Barnsley chavs. If only they could channel that anger towards council offices say ,1,0
242,Looks like the Youtuber that goes by the name of Black Pilled is finally getting red pilled. Here is the true story of Israel attacking the USS Liberty. Israel uses us as a puppet. We control nothing. Israel controls all aspects of our government. #RiseUp ,1,0
243,"That's a good video. Google has search monopoly, something has to be done about it.  I have to pay Google to sell products and there is NO WAY AROUND IT. Bing is not nearly good enough.",1,0
244,"forgive me for calling out unsubstantiated slander? yeah, right. ",1,0
245,Antifa hell bent on destroying the west ,1,0
246,Some people wish for world peace.  Chris Rock wishes more white kids would get shot.  https://www.youtube.com/watch?v=fF7qzqb_wQc,1,0
247,Globalist bastard with pit full of corrupt sons . Sons of sin,1,0
248,"Certainly no different than the preference Japanese get in Nippon or Russians get in Russia, etc. The nationals don't need to treat non-natives like shit and foreigners need to understand they are visitors in someone else's house and must respect the house rules if they don't want to be kicked out.",1,0
249,Gab has men you want to do Twitter has men you rather have the flu,1,0
