,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
1128,1128,13963,here is the mouthy lefty liberals and of course the pakies trying so hard to stop this  ,0.0,1.0,0.8,0.2,"The post contains a racial slur ('pakies') which is offensive and demeaning towards a specific ethnic group. This falls under the category of 'Assaults on Human Dignity' as it degrades individuals based on ethnicity. The use of 'mouthy lefty liberals' is derogatory but not necessarily hate speech. The presence of the racial slur is likely to lead to a consensus among annotators that the post constitutes hate speech, resulting in low disagreement.","The post uses a racial slur ('pakies') which is offensive and targets a specific ethnic group, making it a clear example of hate speech under the 'Assaults on Human Dignity' category. The derogatory term 'mouthy lefty liberals' is less severe but contributes to the overall negative tone. Given the explicit use of a racial slur, annotators are likely to agree that this post constitutes hate speech, leading to low disagreement. Therefore, a higher percentage of annotators would classify this as hate speech.",0.8
1161,1161,14455,Fuck Antwon Rose.    The officer will walk.   ,0.0,1.0,0.8,0.2,"The post contains vulgar and offensive language directed at an individual, Antwon Rose, which can be seen as demeaning or degrading. The phrase 'Fuck Antwon Rose' is likely to be interpreted as an assault on human dignity. Additionally, the statement 'The officer will walk' could be interpreted as a callous disregard for justice, which may further contribute to perceptions of hate speech. Given the strong language and the context of a controversial legal case, there is likely to be low disagreement among annotators that this post constitutes hate speech.","The post 'Fuck Antwon Rose. The officer will walk.' contains vulgar and offensive language directed at an individual, Antwon Rose. The use of the word 'Fuck' is a clear example of vulgarity and offensive language. Additionally, the statement 'The officer will walk' could be interpreted as a dismissive or callous remark regarding a legal case involving a police officer and Antwon Rose, which may be seen as demeaning or degrading to those who view the case as unjust.

Given the strong language and the context of a controversial legal case, it is likely that a significant percentage of annotators would classify this post as hate speech due to its offensive nature and potential to demean or degrade. Therefore, the prediction is that there would be low disagreement among annotators, with a higher percentage classifying it as hate speech.

Percentages of annotators who classify the post as hate speech vs. not hate speech: [0.8, 0.2]",0.8
1223,1223,15140,Adolf Hitler - A Champion For All Humanity ,0.0,1.0,0.8,0.2,"The post explicitly praises Adolf Hitler, a historical figure associated with genocide and extreme hate speech. This is likely to be interpreted as an assault on human dignity, given Hitler's role in the Holocaust and the promotion of Nazi ideology. The post is clear in its message, which is likely to lead to a consensus among annotators that it constitutes hate speech.","The post ""Adolf Hitler - A Champion For All Humanity"" is likely to be classified as hate speech by a significant majority of annotators. The post explicitly praises Adolf Hitler, a historical figure associated with genocide, racism, and extreme hate speech. This is likely to be interpreted as an assault on human dignity, given Hitler's role in the Holocaust and the promotion of Nazi ideology. The post is clear in its message, which is likely to lead to a consensus among annotators that it constitutes hate speech. Therefore, the predicted percentages of annotators who classify the post as hate speech vs. not hate speech are [0.8, 0.2].",0.8
1264,1264,15608,"California wet dream:  Rip it's star from our flag.  Attach thousands of boats to the coastline, wrench it from the mainland, tow it out to sea, and sink it with a all aboard.  #Gab #GabFam #SpeakFreely #Chat #Americans",0.0,1.0,0.8,0.2,"The post contains a call for violence by suggesting the physical removal and sinking of California with people aboard, which is a clear incitement to harm. This aspect of the post is likely to lead to a consensus among annotators that it constitutes hate speech. The language used is not ambiguous and directly suggests a violent action, which aligns with the 'Calls for Violence' aspect of hate speech.","The post suggests a violent action against a geographical region and its inhabitants, which is a clear call for violence. This is likely to be interpreted as hate speech by a majority of annotators due to the explicit nature of the suggestion. The post does not rely on ambiguous language or context, making it a case of low disagreement among annotators.",0.8
1370,1370,16992,"English bitch, try using it.",0.0,1.0,0.8,0.2,"The post contains offensive language directed at an individual or group, using the term 'bitch' which is a derogatory term. This falls under the category of vulgarity and/or offensive language. The use of 'English' as a descriptor could imply a racial or nationalistic insult, which may be interpreted as an assault on human dignity. However, the post does not explicitly call for violence. The language is clear in its offensiveness, suggesting low disagreement among annotators about its classification as hate speech.","The post 'English bitch, try using it.' contains offensive language, specifically the term 'bitch,' which is derogatory and vulgar. The use of 'English' as a descriptor could imply a racial or nationalistic insult, potentially demeaning individuals based on nationality or ethnicity. This aligns with the aspect of assaults on human dignity and vulgarity/offensive language. However, there is no explicit call for violence. The post's language is straightforward in its offensiveness, leading to a likely consensus among annotators that it constitutes hate speech, resulting in low disagreement. Therefore, the predicted percentages of annotators classifying the post as hate speech vs. not hate speech are [0.8, 0.2].",0.8
1391,1391,17241,That is what (((they))) are so upset about The true numbers (((They))) will never report the true numbers as long as (((they))) are controlling the narrative The true numbers are We will win  ,0.0,1.0,0.8,0.2,"The post uses triple parentheses, a known anti-Semitic dog whistle, to refer to 'they,' suggesting a Jewish conspiracy controlling the narrative. This falls under 'Assaults on Human Dignity' as it degrades a group based on religion. The post does not explicitly call for violence or use vulgar language, but the use of coded language to imply a conspiracy is a clear indicator of hate speech. Annotators are likely to agree on this interpretation, leading to low disagreement.","The post uses coded language, specifically the triple parentheses, which is a known anti-Semitic symbol used to imply Jewish control or conspiracy. This aspect of the post clearly falls under 'Assaults on Human Dignity' as it targets a group based on religion. While the post does not explicitly call for violence or use vulgar language, the use of such coded language is a clear indicator of hate speech. Given the clarity of the anti-Semitic reference, annotators are likely to agree on this interpretation, resulting in low disagreement. Therefore, a higher percentage of annotators would classify this as hate speech.",0.8
1598,1598,19329,"The faggot Lindsy Graham ""You were supposedly a Bill Cosby in High School"" ",0.0,1.0,0.8,0.2,"The post contains a homophobic slur ('faggot') directed at an individual, which falls under the category of vulgarity and offensive language. This is a clear example of hate speech as it uses derogatory language targeting sexual orientation. Additionally, the post makes a derogatory comparison to Bill Cosby, which could be interpreted as an assault on human dignity. Given the explicit use of slurs and the demeaning nature of the content, there is likely to be low disagreement among annotators about this being classified as hate speech.","The post uses a homophobic slur and makes a derogatory comparison, which are clear indicators of hate speech. The use of such language is likely to lead to a consensus among annotators that this is hate speech, resulting in low disagreement. Therefore, a high percentage of annotators would classify this as hate speech.",0.8
1804,1804,22250,Stupid bitch thinks hogg is a person.,0.0,1.0,0.8,0.2,"The post contains offensive language, specifically the use of the term 'stupid bitch,' which is a vulgar and derogatory term directed at an individual. This falls under the category of vulgarity and offensive language. While it does not explicitly call for violence or assault human dignity based on protected characteristics, the use of such language is likely to be perceived as hate speech by a significant portion of annotators. However, some annotators may not classify it as hate speech due to the lack of explicit targeting based on race, ethnicity, gender, etc., leading to some level of disagreement.","The post uses offensive language ('stupid bitch') which is derogatory and demeaning. This language is likely to be considered hate speech by many annotators due to its vulgarity and the personal attack it implies. However, since it does not target a specific group based on protected characteristics or incite violence, some annotators might not classify it as hate speech, resulting in a moderate level of disagreement. Therefore, the predicted percentages are [0.8, 0.2].",0.8
1969,1969,24316,I give free bullets as long as they keep lining up.  Reparation have already been made we gave them a country https://en.wikipedia.org/wiki/Liberia Niggers are hyphenated-Americans because they belong in Liberia. If they want to claim their reparations then they can buy a one way ticket to Liberia. Or we can revoke their state side citizenship and DEPORT the whole worthless lot! Liberia Today https://www.youtube.com/watch?v=ZRuSS0iiFyo ANIMALS!,0.0,1.0,0.9,0.1,"The post contains multiple aspects of hate speech. It assaults human dignity by using racial slurs and demeaning language towards African Americans, suggesting they are not true Americans and belong in Liberia. It also contains a call for violence by offering 'free bullets' and suggesting deportation. The language is vulgar and offensive, with clear racial slurs and derogatory terms. Given the explicit nature of the language and the clear targeting of a racial group, there is likely to be low disagreement among annotators that this constitutes hate speech.","The post is highly likely to be classified as hate speech by the majority of annotators due to its explicit use of racial slurs, demeaning language, and implied threats of violence. The post clearly assaults human dignity by referring to African Americans with derogatory terms and suggesting they should be deported to Liberia. The offer of 'free bullets' implies a threat of violence. The language used is vulgar and offensive, leaving little room for interpretation. Therefore, the prediction is that 90% of annotators would classify this as hate speech, with only 10% not classifying it as such.",0.9
2011,2011,24785,Why does the J-Left media fail to show the mutilated faces of people suffering at the hands of the 3rd world invaders?  It's almost as if they know that doing so would cause people to conjure up these horrific images in their minds every time they heard of another girl murdered at the hands of invaders..  Almost as if the want to keep people ignorant of the threat.,0.0,1.0,0.8,0.2,"The post uses the term 'J-Left media,' which could be interpreted as a derogatory reference to Jewish people, suggesting an assault on human dignity. It also uses the term '3rd world invaders,' which dehumanizes immigrants or people from developing countries, further contributing to an assault on human dignity. The post implies a threat from these 'invaders,' which could be seen as fear-mongering or inciting hostility. The language is inflammatory and could be interpreted as hate speech by a significant portion of annotators, though some may not see it as a direct call for violence or use of vulgar language, leading to some disagreement.","The post contains language that could be interpreted as demeaning or degrading to certain groups, specifically with the use of terms like 'J-Left media' and '3rd world invaders.' These terms suggest an assault on human dignity by dehumanizing and targeting specific groups. The post also implies a threat from these 'invaders,' which could be seen as inciting hostility or fear. While it does not explicitly call for violence or use vulgar language, the overall tone and choice of words are inflammatory and could be interpreted as hate speech by a significant portion of annotators. However, some annotators may not see it as a direct call for violence or use of vulgar language, leading to some disagreement. Therefore, I predict a higher percentage of annotators would classify this as hate speech, but not unanimously, resulting in [0.8, 0.2].",0.8
2181,2181,27120,The world is a better & safer place now that McCain is enjoying his eternity in Hades.   Now if Satan could just call Ruth Bader Ginsberg home...,0.0,1.0,0.8,0.2,"The post expresses a wish for the death of specific individuals, which can be seen as a call for harm, albeit in a non-physical sense. It also uses language that can be interpreted as demeaning or degrading towards the individuals mentioned, particularly by suggesting they belong in 'Hades' or should be 'called home' by Satan. This aligns with the 'Assaults on Human Dignity' aspect of hate speech. The post is likely to be seen as offensive and disrespectful, leading to a higher percentage of annotators classifying it as hate speech. However, the lack of direct calls for violence or use of vulgar language might lead some annotators to classify it as not hate speech, resulting in some disagreement.","The post expresses a wish for the death of specific individuals, which can be seen as a call for harm, albeit in a non-physical sense. It also uses language that can be interpreted as demeaning or degrading towards the individuals mentioned, particularly by suggesting they belong in 'Hades' or should be 'called home' by Satan. This aligns with the 'Assaults on Human Dignity' aspect of hate speech. The post is likely to be seen as offensive and disrespectful, leading to a higher percentage of annotators classifying it as hate speech. However, the lack of direct calls for violence or use of vulgar language might lead some annotators to classify it as not hate speech, resulting in some disagreement.",0.8
