,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
154,154,2445,"Pseudonymous intersectionalkin Benjanun Sriduangkaew gets dragged into the light again For reference since 2003 she persistently sent death/rape/mutiliation threats to people online, discovered social justice and started justifying her actions with it, SJWs enabling her https://twitter.com/cathyyoung63/status/1030708725...",0.0,1.0,0.6,0.4,"The post accuses an individual of sending death, rape, and mutilation threats, which could be seen as a call for violence or at least an endorsement of violent behavior. It also mentions the use of social justice as a justification for these actions, which could be interpreted as an assault on human dignity by trivializing serious threats. The language used is accusatory and could be seen as offensive. However, the post is reporting on alleged behavior rather than directly inciting violence or using vulgar language itself, which may lead to some disagreement among annotators.","The post discusses an individual accused of sending serious threats online and suggests that these actions are being justified by social justice rhetoric. This could be seen as an indirect call for violence or an assault on human dignity, as it trivializes the severity of the threats. The post does not use vulgar language directly but discusses offensive behavior. Annotators may disagree on whether the post itself constitutes hate speech, leading to a moderate level of disagreement.",0.6
183,183,2924,#NotSendingTheirBest,0.0,1.0,0.6,0.4,"The hashtag '#NotSendingTheirBest' is often associated with derogatory comments about immigrants, particularly from certain countries, suggesting that they are not the best representatives of their countries. This can be seen as an assault on human dignity, as it generalizes and demeans a group of people based on nationality or ethnicity. However, the post itself is not explicit in its language, which may lead to some disagreement among annotators about whether it constitutes hate speech. The lack of explicit offensive language or direct calls for violence suggests that some annotators might not classify it as hate speech, leading to moderate disagreement.","The hashtag '#NotSendingTheirBest' is often associated with derogatory comments about immigrants, particularly from certain countries, suggesting that they are not the best representatives of their countries. This can be seen as an assault on human dignity, as it generalizes and demeans a group of people based on nationality or ethnicity. However, the post itself is not explicit in its language, which may lead to some disagreement among annotators about whether it constitutes hate speech. The lack of explicit offensive language or direct calls for violence suggests that some annotators might not classify it as hate speech, leading to moderate disagreement.",0.6
196,196,2996,"Former asshat AG Eric Holder: When Republicans Go Low, ""We Kick Them""",0.0,1.0,0.6,0.4,"The post uses offensive language ('asshat') to describe a public figure, which may be considered vulgar or offensive. Additionally, the phrase 'We Kick Them' could be interpreted as a metaphorical call for violence or aggression against a political group, which may be seen as inciting hostility. However, the context suggests it might be a rhetorical statement rather than a literal call for violence, leading to potential disagreement among annotators.","The post contains elements that could be interpreted as hate speech, particularly in terms of vulgarity and a potential call for violence. The use of the term 'asshat' is derogatory and offensive, which may lead some annotators to classify it as hate speech. The phrase 'We Kick Them' could be seen as a metaphorical call for violence or aggression, which might be interpreted as inciting hostility against a political group. However, given the context of political rhetoric, some annotators might view it as a non-literal expression of political opposition rather than a genuine call for violence. This ambiguity could result in a moderate level of disagreement among annotators, with some seeing it as hate speech and others not.",0.6
235,235,3302,"GERMANY: MUSLIM refugee murdered his 2-year-old daughter by cutting her throat and nearly beheading her, 'in order to punish his wife' http://www.dailymail.co.uk/news/article-5581881/Man-34-practically-beheaded-two-year-old-daughter-punish-wife.html",0.0,1.0,0.6,0.4,"The post reports on a violent crime committed by a Muslim refugee, which could be interpreted as an assault on human dignity by associating a heinous act with a specific religious group. The language used in the post could be seen as inflammatory and potentially inciting negative sentiments towards Muslims. However, the post primarily reports on a news event, which might lead some annotators to classify it as not hate speech. The potential for high disagreement arises from the context and the way the information is presented, which could be seen as either a factual report or as a means to incite hatred against a group.","The post describes a violent crime committed by a Muslim refugee, which could be perceived as an assault on human dignity by associating a heinous act with a specific religious group. The language used in the post could be seen as inflammatory and potentially inciting negative sentiments towards Muslims. However, the post primarily reports on a news event, which might lead some annotators to classify it as not hate speech. The potential for high disagreement arises from the context and the way the information is presented, which could be seen as either a factual report or as a means to incite hatred against a group.",0.6
240,240,3340,Ah yes the eternal slut. The death of nations,0.0,1.0,0.7,0.3,"The post uses the term 'eternal slut,' which is a derogatory and demeaning term that can be seen as an assault on human dignity, particularly towards women. The phrase 'the death of nations' is vague but could imply a negative stereotype or blame placed on women, which may be interpreted as hate speech by some annotators. The language is offensive and vulgar, contributing to the likelihood of it being classified as hate speech. However, the lack of explicit calls for violence or direct targeting of a specific group may lead to some disagreement among annotators.","The post contains offensive language and a derogatory term ('eternal slut') that can be interpreted as demeaning towards women, which falls under the category of assaults on human dignity. The phrase 'the death of nations' is ambiguous but could imply a harmful stereotype or blame, which may be seen as hate speech by some annotators. The vulgarity and offensive nature of the language contribute to the likelihood of it being classified as hate speech. However, the absence of explicit calls for violence or direct targeting of a specific group may lead to some annotators not classifying it as hate speech, resulting in moderate disagreement.",0.7
256,256,3605,#Trump saying he doesn't trust our intelligence agencies:  TREASON TREASON TREASON  Even though we've seen their texts and emails and know these intelligence agencies are all guilty of treason themselves. HRC selling Uranium to Russia:  ALL GOOD This is why nobody takes these retards seriously. #POTUS calling out the CIA/FBI is patriotic if anything.,0.0,1.0,0.6,0.4,"The post contains offensive language, specifically the use of the term 'retards,' which is considered a slur and demeaning to individuals with intellectual disabilities. This aspect of vulgarity and offensive language may lead some annotators to classify it as hate speech. However, the post does not explicitly call for violence or directly assault human dignity based on protected characteristics, which may lead to some disagreement among annotators. The political context and the use of charged language may also contribute to varying interpretations.","The post uses offensive language ('retards') which is considered derogatory and demeaning. This could be seen as an assault on human dignity, albeit not directly targeting a protected characteristic like race or gender. The post does not call for violence, but it does engage in political commentary that could be polarizing. The use of the term 'treason' and the criticism of intelligence agencies might be seen as strong political opinion rather than hate speech. Given the offensive language and the potential for different interpretations of the political content, there is likely to be some disagreement among annotators, but a significant portion may still classify it as hate speech due to the derogatory term used.",0.6
266,266,3688,He is a professor that is literally just teaching classical Western intellectual culture via #youtube; never really understood the opposition!?! Likely #Libtarded / #Antiwestern trolls ,1.0,0.0,0.4,0.6,"The post uses the term 'Libtarded,' which is a derogatory term combining 'liberal' and 'retarded,' potentially demeaning individuals based on political beliefs. This could be seen as an assault on human dignity. However, the post does not contain explicit calls for violence or vulgar language beyond the derogatory term. The context of the post suggests a political disagreement, which may lead to some annotators viewing it as hate speech due to the offensive term, while others may see it as a political opinion. This results in moderate disagreement among annotators.","The post contains a derogatory term 'Libtarded,' which is offensive and could be interpreted as demeaning to individuals with liberal political views. This aspect may lead some annotators to classify it as hate speech due to the assault on human dignity. However, the post does not explicitly call for violence or use vulgar language beyond this term. The context suggests a political disagreement, which might be interpreted differently by annotators. Therefore, there is likely moderate disagreement, with some annotators viewing it as hate speech and others not.",0.6
274,274,3813,"If the Left think politicians' children are ""fair game"", why doesn't the Left think the children of terrorists are ""fair game""?  We know the Left think that Israeli children are fair game. ",0.0,1.0,0.6,0.4,"The post contains language that could be interpreted as demeaning or degrading towards certain groups, particularly by suggesting that the 'Left' considers certain children as 'fair game'. This could be seen as an assault on human dignity, as it implies a lack of value for the lives of children based on political or national affiliations. Additionally, the post could be seen as inciting negative sentiments towards the 'Left' and potentially towards Israeli children, which may be interpreted as a call for violence or at least a justification of harm. The language used is provocative and could be seen as offensive, leading to a higher likelihood of being classified as hate speech by some annotators. However, the post does not explicitly call for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech, resulting in moderate disagreement.","The post suggests that the 'Left' considers certain children as 'fair game', which can be interpreted as demeaning or degrading towards certain groups. This could be seen as an assault on human dignity, as it implies a lack of value for the lives of children based on political or national affiliations. Additionally, the post could be seen as inciting negative sentiments towards the 'Left' and potentially towards Israeli children, which may be interpreted as a call for violence or at least a justification of harm. The language used is provocative and could be seen as offensive, leading to a higher likelihood of being classified as hate speech by some annotators. However, the post does not explicitly call for violence or use vulgar language, which might lead to some annotators not classifying it as hate speech, resulting in moderate disagreement.",0.6
313,313,4359,We are trying very hard to keep a straightface but we had to add this news. An animal rights advocate wants to place a roadside memorial in Maine to remember thousands of lobsters killed in a highway wreck Weird that they didn't say a damn thing about muzzie s torturing and killing all those animals a few days ago. http://www.dailymail.co.uk/news/article-6115919/PE......,0.0,1.0,0.6,0.4,"The post contains potentially offensive language with the use of the term 'muzzies,' which is a derogatory term for Muslims. This could be seen as an assault on human dignity based on religion. The post also contrasts the concern for animal rights with a lack of concern for alleged actions by Muslims, which could be interpreted as demeaning. However, it does not contain explicit calls for violence. The use of offensive language and the context may lead to some annotators classifying it as hate speech, but the lack of explicit violence or severe demeaning content might lead others to classify it as not hate speech. This results in a moderate level of disagreement among annotators.","The post uses a derogatory term 'muzzies' to refer to Muslims, which can be considered an assault on human dignity based on religion. This term is offensive and demeaning, which aligns with the aspect of vulgarity and offensive language. However, the post does not explicitly call for violence or contain severe demeaning content that is overtly hateful. The context of contrasting animal rights with alleged actions by Muslims might be seen as demeaning, but it is not explicit. Therefore, there is likely to be some disagreement among annotators, with a moderate percentage classifying it as hate speech due to the offensive language, while others may not see it as severe enough to be classified as such. This results in a prediction of [0.6, 0.4] for hate speech vs. not hate speech.",0.6
314,314,4367,Why is he concerned he let the fucking things in.,0.0,1.0,0.6,0.4,"The post contains vulgar language ('fucking things') which could be interpreted as offensive. However, without additional context, it's unclear if this language is directed at a specific group or individual, or if it constitutes an assault on human dignity. The lack of context makes it difficult to determine if the post is a call for violence or if it targets a protected characteristic. This ambiguity could lead to a moderate level of disagreement among annotators, with some viewing it as hate speech due to the offensive language, while others may not see it as such without more context.","The post uses vulgar language ('fucking things'), which may be considered offensive. However, the lack of context makes it difficult to determine if this is directed at a specific group or individual, or if it constitutes an assault on human dignity. The post does not appear to contain a call for violence. The ambiguity in the target of the language and the lack of context could lead to disagreement among annotators, with some viewing it as hate speech due to the offensive language, while others may not see it as such without more context.",0.6
328,328,4594,Watch some Leftist nut will attack someone wearing a Free Speech hat and call THEM Nazi,0.0,1.0,0.6,0.4,"The post suggests that a 'Leftist nut' would attack someone for wearing a 'Free Speech' hat, implying that leftists are intolerant and prone to violence. This can be seen as an assault on human dignity by stereotyping a political group as violent. However, it does not explicitly call for violence or use vulgar language. The post's interpretation may vary, leading to some disagreement among annotators.","The post implies that leftists are intolerant and prone to violence, which can be seen as a stereotype or an assault on human dignity. However, it does not explicitly call for violence or use vulgar language. The interpretation of this post may vary, leading to some disagreement among annotators.",0.6
332,332,4642,A gay 9 year old is like a vegan cat - we all know who's really making the choices.,1.0,0.0,0.4,0.6,"The post makes a comparison between a 'gay 9 year old' and a 'vegan cat,' implying that a child cannot make their own decisions about their sexual orientation, similar to how a cat cannot choose its diet. This could be interpreted as an assault on human dignity by suggesting that a child's self-identification is invalid or controlled by others. However, it does not contain explicit vulgarity or calls for violence. The post's interpretation may vary, leading to some disagreement among annotators.","The post makes a comparison between a 'gay 9 year old' and a 'vegan cat,' implying that a child cannot make their own decisions about their sexual orientation, similar to how a cat cannot choose its diet. This could be interpreted as an assault on human dignity by suggesting that a child's self-identification is invalid or controlled by others. However, it does not contain explicit vulgarity or calls for violence. The post's interpretation may vary, leading to some disagreement among annotators.",0.6
334,334,4645,"Croatia is doing it right“Ten days ago they took all our money.... More than €1,000. They ripped up my passport, and then started beating us with batons. You risk your life in the hills. You don’t sleep. Maybe you die. OK, the police catch you and send you back, that would be normal. But why do they beat us? Why do they humiliate us?” https://www.theguardian.com/world/2018/aug/15/refu......",0.0,1.0,0.6,0.4,"The post describes a situation where refugees are allegedly being mistreated by Croatian authorities, including being beaten and humiliated. This could be interpreted as an assault on human dignity, as it involves degrading treatment of individuals based on their status as refugees. The post does not explicitly call for violence or use vulgar language, but the description of violence by authorities could be seen as endorsing or normalizing such behavior. The context of the post, which includes a link to a news article, suggests it is reporting on an issue rather than promoting hate speech, but the content could still be seen as controversial or inflammatory, leading to some disagreement among annotators.","The post describes alleged mistreatment of refugees by Croatian authorities, including physical violence and humiliation. This could be seen as an assault on human dignity, as it involves degrading treatment of individuals based on their status as refugees. The post does not explicitly call for violence or use vulgar language, but the description of violence by authorities could be interpreted as endorsing or normalizing such behavior. The context of the post, which includes a link to a news article, suggests it is reporting on an issue rather than promoting hate speech, but the content could still be seen as controversial or inflammatory, leading to some disagreement among annotators. Therefore, I predict a moderate level of disagreement, with approximately 60% of annotators classifying it as hate speech and 40% not.",0.6
335,335,4669,"Payment to the Muslim President for his efforts to help build the caliphate, innundate the US with migrants, radical Islam8st extremist.",0.0,1.0,0.7,0.3,"The post contains language that could be interpreted as demeaning or degrading towards Muslims, suggesting a conspiracy involving a 'Muslim President' and the building of a caliphate. This could be seen as an assault on human dignity based on religion. Additionally, the use of terms like 'radical Islam8st extremist' could be considered offensive. However, there is no explicit call for violence. The post's content is likely to lead to some disagreement among annotators due to its political nature and the potential for different interpretations of its intent and severity.","The post suggests a conspiracy involving a 'Muslim President' and the building of a caliphate, which could be interpreted as demeaning towards Muslims. It uses terms like 'radical Islam8st extremist,' which could be seen as offensive. There is no explicit call for violence, but the post's content may lead to disagreement among annotators due to its political nature and potential for different interpretations.",0.7
341,341,4715,"They're pretty open about what they do to European civilizations but some of you choose to pretend like it's some sort of mystery.  Our forefathers had the balls to kick them out when they undermined their society & currency. And now they've created hate speech laws with the help of the ADL so you can't speak out. Cool, we learned nothing.",0.0,1.0,0.7,0.3,"The post contains elements that could be interpreted as hate speech, particularly in the context of 'assaults on human dignity' and 'vulgarity and/or offensive language.' It refers to 'what they do to European civilizations' and 'kicking them out,' which could be seen as demeaning or degrading to certain groups. The mention of 'hate speech laws' and the ADL suggests a conspiracy theory angle, which might not be directly hate speech but can be interpreted as such by some annotators. The language is somewhat ambiguous and could lead to different interpretations, resulting in moderate disagreement among annotators.","The post suggests that certain groups are undermining European civilizations and implies that historical actions of expulsion were justified. It also criticizes hate speech laws, suggesting they are a tool to suppress speaking out against these groups. This can be seen as an assault on human dignity, as it targets specific groups and implies they are a threat to society. The language used is not overtly vulgar but carries an offensive undertone that could be interpreted as hate speech. Given the context and the potential for different interpretations, there is likely moderate disagreement among annotators, with a higher percentage classifying it as hate speech.",0.7
342,342,4717,The goyim can't know about this... let's just call it a conspiracy theory but let's put 80 year olds in prison for disputing the official Holocaust story,0.0,1.0,0.7,0.3,"The post contains language that could be interpreted as anti-Semitic, particularly with the use of the term 'goyim' and the suggestion of a conspiracy theory regarding the Holocaust. This could be seen as an assault on human dignity, as it appears to trivialize or deny the Holocaust, which is a sensitive and significant historical event. The post may also imply a call for action against those who dispute the Holocaust narrative, although it is not explicit. The language used is likely to lead to disagreement among annotators, as some may see it as hate speech while others may view it as a controversial opinion or satire.","The post uses the term 'goyim,' which is often used in a derogatory context to refer to non-Jews, and suggests a conspiracy theory about the Holocaust. This can be seen as an assault on human dignity, as it trivializes a significant historical atrocity and could be interpreted as Holocaust denial. The post does not explicitly call for violence, but the language used is provocative and could be seen as offensive. Given the sensitive nature of the topic and the potential for different interpretations, there is likely to be a high level of disagreement among annotators. Some may view it as hate speech due to the anti-Semitic undertones, while others may see it as a controversial opinion or satire. Therefore, I predict that 70% of annotators would classify it as hate speech, while 30% would not.",0.7
362,362,4938,Except that these animals are younger and better looking!,0.0,1.0,0.6,0.4,"The post uses the term 'animals' to refer to people, which can be interpreted as dehumanizing and degrading, potentially falling under the category of 'Assaults on Human Dignity.' The phrase 'younger and better looking' adds ambiguity, as it could be interpreted in various ways depending on context. This ambiguity may lead to some disagreement among annotators, but the dehumanizing language suggests a higher likelihood of being classified as hate speech.","The post uses dehumanizing language by referring to people as 'animals,' which can be seen as an assault on human dignity. This type of language is often associated with hate speech, as it degrades individuals or groups. The additional comment about being 'younger and better looking' adds a layer of ambiguity, as it is unclear what the post is specifically referring to. This ambiguity might lead to some disagreement among annotators, but the use of dehumanizing language suggests that a significant portion of annotators would classify it as hate speech. Therefore, the predicted percentages are [0.6, 0.4], indicating a higher likelihood of being classified as hate speech.",0.6
395,395,5391,We wuz PIElots 'n' sheeeit https://www.youtube.com/watch?v=SVqQKF7xgTQ&t=1s,0.0,1.0,0.7,0.3,"The phrase 'We wuz PIElots 'n' sheeeit' is a play on the meme 'We wuz kings,' which is often used in a derogatory manner to mock African American claims of historical achievements. This phrase can be seen as demeaning or degrading to a racial group, thus falling under the 'Assaults on Human Dignity' aspect of hate speech. The use of this meme is likely to be interpreted as racially insensitive or offensive by many annotators, leading to a higher percentage classifying it as hate speech. However, some may not recognize the context or may interpret it as a joke, leading to some disagreement.","The post uses a phrase that is commonly associated with a meme that mocks African American historical claims. This can be seen as an assault on human dignity, as it degrades a racial group. The context and language suggest a likelihood of being classified as hate speech by a significant portion of annotators, though not all may agree due to varying interpretations of the meme's intent.",0.7
424,424,5740,"The schoolgirls are up, I'll write in the sexy captions tomorrow when I'm sober.",0.0,1.0,0.6,0.4,"The post contains a potentially concerning statement about 'schoolgirls' and 'sexy captions,' which could be interpreted as demeaning or degrading to a group based on gender and age. This could be seen as an assault on human dignity. However, the post does not explicitly call for violence or use vulgar language. The ambiguity lies in the interpretation of the intent behind the statement, which could lead to disagreement among annotators.","The post mentions 'schoolgirls' and 'sexy captions,' which could be interpreted as objectifying or sexualizing minors, potentially falling under the category of assaults on human dignity. However, the post does not contain explicit vulgarity or calls for violence. The context and intent are ambiguous, leading to potential disagreement among annotators. Therefore, a moderate percentage of annotators might classify it as hate speech due to the concerning implications, while others may not see it as such due to the lack of explicit offensive language or calls for violence.",0.6
