,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
83,83,1402,I think Brother Nathanael's been dipping into the wine lately. That's ok because he's still on point for a reformed jew. God Bless!,0.0,1.0,0.3,0.7,"The post mentions 'Brother Nathanael' and refers to him as a 'reformed jew,' which could be interpreted as a reference to his religious background. The phrase 'dipping into the wine' is likely a metaphorical expression suggesting that he might be acting unusually, but it does not contain any direct assaults on human dignity, calls for violence, or vulgar language. The post's tone seems more light-hearted or humorous rather than hateful. However, the mention of 'reformed jew' could be seen as potentially offensive or stereotyping, leading to some annotators perceiving it as hate speech. Overall, the post is likely to result in moderate disagreement among annotators due to its ambiguous nature and context-specific interpretation.","The post refers to 'Brother Nathanael' and describes him as a 'reformed jew,' which could be seen as a reference to his religious background. The phrase 'dipping into the wine' is likely a metaphorical expression suggesting that he might be acting unusually, but it does not contain any direct assaults on human dignity, calls for violence, or vulgar language. The post's tone seems more light-hearted or humorous rather than hateful. However, the mention of 'reformed jew' could be seen as potentially offensive or stereotyping, leading to some annotators perceiving it as hate speech. Overall, the post is likely to result in moderate disagreement among annotators due to its ambiguous nature and context-specific interpretation.",0.3
111,111,1922,alex jones was imprisoned in the cube by the globalists only quads can free him https://www.bitchute.com/video/khTvXOZHHvrg/,0.0,1.0,0.4,0.6,"The post references Alex Jones, a controversial figure often associated with conspiracy theories, and mentions 'globalists,' a term sometimes used in a derogatory manner. However, the post is vague and lacks direct assaults on human dignity, calls for violence, or vulgar language. The ambiguity and context-specific language may lead to varied interpretations, resulting in moderate disagreement among annotators.","The post mentions Alex Jones and 'globalists,' which can be interpreted in various ways depending on the reader's perspective. The term 'globalists' is often used in conspiracy theories and can carry negative connotations, but the post does not explicitly demean or degrade any group, nor does it call for violence or use offensive language. The reference to 'quads' freeing him is unclear and may be seen as a metaphor or part of a conspiracy narrative. Given the lack of explicit hate speech elements and the potential for different interpretations, there is likely moderate disagreement among annotators.",0.4
113,113,1945,"From what I can find out, Wicca was created in 1930 or so, and Asatru in 1970.  No one really knows how the pagan of old worshiped. Now Satanism is a whole 'nother thing!  Evil!  Evil then and evil now.",0.0,1.0,0.3,0.7,"The post discusses Wicca, Asatru, and Satanism, labeling Satanism as 'evil.' While it expresses a negative opinion about Satanism, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. The language is not overtly vulgar or offensive, though it could be seen as dismissive or prejudiced against those who identify with Satanism. This could lead to some disagreement among annotators, but it is likely to be seen as not hate speech by the majority.","The post discusses different religious beliefs, specifically Wicca, Asatru, and Satanism. It labels Satanism as 'evil,' which could be interpreted as a negative stereotype or prejudice against those who practice Satanism. However, it does not explicitly attack individuals or groups based on protected characteristics such as race, ethnicity, gender, etc. There is no call for violence or use of vulgar language. The post may be seen as expressing a personal opinion rather than hate speech, leading to some disagreement among annotators. Therefore, the predicted percentages are [0.3, 0.7].",0.3
115,115,1973,"Never Trumpers peddaling their conspiracy. Just look at the cast of characters present in the film. No Name, McMuffin, Killary... https://www.thegatewaypundit.com/2018/08/nasty-joh...",0.0,1.0,0.4,0.6,"The post uses derogatory nicknames for political figures (e.g., 'No Name', 'McMuffin', 'Killary'), which could be seen as demeaning or degrading. However, it does not explicitly call for violence or use vulgar language. The use of such nicknames may lead to some disagreement among annotators about whether it constitutes hate speech, as it could be interpreted as political criticism rather than hate speech. Therefore, there is likely to be moderate disagreement among annotators.","The post uses derogatory nicknames for political figures, which could be seen as demeaning or degrading. However, it does not explicitly call for violence or use vulgar language. The use of such nicknames may lead to some disagreement among annotators about whether it constitutes hate speech, as it could be interpreted as political criticism rather than hate speech. Therefore, there is likely to be moderate disagreement among annotators.",0.4
133,133,2267,Gab outraged by racisim with tons of racism on the site lol.,0.0,1.0,0.4,0.6,"The post appears to be a commentary on the presence of racism on a social media platform, Gab, while also pointing out the irony of outrage over racism. The post itself does not directly contain assaults on human dignity, calls for violence, or vulgarity. However, it does mention racism, which could lead to some annotators perceiving it as indirectly related to hate speech. The post's tone and context might lead to some disagreement among annotators, but it is likely to be seen as more of a critique rather than hate speech itself.","The post comments on the presence of racism on a social media platform, Gab, and highlights the irony of outrage over racism while racism is prevalent on the site. The post itself does not contain direct hate speech elements such as assaults on human dignity, calls for violence, or vulgarity. However, the mention of racism could lead to some annotators perceiving it as indirectly related to hate speech. The post's tone and context might lead to some disagreement among annotators, but it is likely to be seen as more of a critique rather than hate speech itself. Therefore, the prediction is that 40% of annotators might classify it as hate speech due to the mention of racism, while 60% might not classify it as hate speech, viewing it as a commentary or critique.",0.4
141,141,2365,"They just dont know what is going on. I didn't either, until I studied what Muslims are.",0.0,1.0,0.4,0.6,"The post makes a generalization about Muslims, which could be interpreted as demeaning or degrading, potentially falling under 'Assaults on Human Dignity.' However, the language is not overtly offensive or vulgar, and there is no call for violence. The statement is somewhat ambiguous and could be interpreted differently depending on the reader's perspective on whether it constitutes hate speech. This ambiguity may lead to a moderate level of disagreement among annotators.","The post makes a generalization about Muslims, which could be interpreted as demeaning or degrading, potentially falling under 'Assaults on Human Dignity.' However, the language is not overtly offensive or vulgar, and there is no call for violence. The statement is somewhat ambiguous and could be interpreted differently depending on the reader's perspective on whether it constitutes hate speech. This ambiguity may lead to a moderate level of disagreement among annotators.",0.4
159,159,2517,"Same shit, different day. Too bad we don`t have Hillary in power, The survivors would be covering like starving dogs in perpetual winter as the nuclear clouds drifted across the planet. ",0.0,1.0,0.4,0.6,"The post contains a hypothetical scenario that suggests a negative outcome if a specific political figure were in power. It uses metaphorical language ('starving dogs in perpetual winter') to describe the situation, which could be interpreted as offensive or demeaning. However, it does not explicitly call for violence or use vulgar language. The interpretation of this post as hate speech may vary based on political views, leading to moderate disagreement among annotators.","The post uses metaphorical language to criticize a political figure, suggesting a negative hypothetical scenario. It does not explicitly demean a group based on protected characteristics, nor does it call for violence. The language is not overtly vulgar, but the metaphor could be seen as offensive. The interpretation of this post as hate speech may vary based on political views, leading to moderate disagreement among annotators.",0.4
165,165,2563,"I don't know about y'all, but when I see something racist I just move right along. It doesn't affect me in the least. I don't get why others seem to get all riled up.",0.0,1.0,0.3,0.7,"The post expresses a personal stance on encountering racism, suggesting indifference to racist content. It does not directly assault human dignity, call for violence, or use vulgar language. However, the dismissive attitude towards racism might be seen as problematic by some, leading to a moderate level of disagreement among annotators. Some may view it as minimizing the impact of racism, while others may see it as a personal coping mechanism, resulting in a higher percentage of annotators not classifying it as hate speech.","The post does not explicitly contain hate speech elements such as assaults on human dignity, calls for violence, or vulgar language. However, it does express a dismissive attitude towards racism, which could be interpreted as problematic by some annotators. This could lead to a moderate level of disagreement, as some may view the post as minimizing the impact of racism, while others may see it as a personal coping mechanism. Therefore, the predicted percentages of annotators classifying the post as hate speech vs. not hate speech are [0.3, 0.7].",0.3
169,169,2623,"The wearing of the Hijab is not even a necessity in Islam, just as Majid Nawaz. The hijab is basically a giant virtue signal and that's it. What's she complaining about?",0.0,1.0,0.3,0.7,"The post discusses the wearing of the Hijab and suggests it is a 'virtue signal,' which could be interpreted as dismissive or demeaning towards those who choose to wear it for religious or cultural reasons. However, it does not contain explicit vulgarity, offensive language, or calls for violence. The post may be seen as an assault on human dignity by some, as it questions the necessity of a religious practice, but it is not overtly hateful. This could lead to some disagreement among annotators, but likely not high disagreement.","The post questions the necessity of wearing the Hijab in Islam and labels it as a 'virtue signal.' This could be seen as dismissive or demeaning towards those who wear it for religious or cultural reasons, potentially falling under 'assaults on human dignity.' However, it does not contain vulgarity, offensive language, or calls for violence. The post's tone may lead to some annotators viewing it as hate speech, but it is not overtly hateful, leading to a moderate level of disagreement. Therefore, the predicted percentages are [0.3, 0.7].",0.3
174,174,2716,Redemption NPR is currently broadcasting a show about how perpetrators in the #MeToo crowd can be forgiven and make their way back into society. Simple! Just convert to Roman Catholicism and enjoy the Sacrament of Reconciliation! Oh. http://josephsciambra.com/the-deep-gay-state-in-th...,0.0,1.0,0.4,0.6,"The post appears to be sarcastic and critical of the #MeToo movement and the concept of forgiveness for perpetrators. It uses religious references, which could be interpreted as offensive or demeaning to some. However, it does not explicitly call for violence or use vulgar language. The sarcasm and religious reference might lead to some disagreement among annotators about whether it constitutes hate speech, particularly in terms of demeaning individuals or groups based on their beliefs.","The post uses sarcasm and religious references to critique the idea of forgiveness for perpetrators in the #MeToo movement. While it does not explicitly demean a specific group based on protected characteristics, the tone and context might be seen as offensive to some, particularly those sensitive to religious references or the #MeToo movement. This could lead to some annotators viewing it as hate speech, while others may not, resulting in moderate disagreement.",0.4
179,179,2875,Pictures emerge of where #McCain will be spending the next forever:,0.0,1.0,0.4,0.6,"The post refers to John McCain, a public figure, and the phrase 'where McCain will be spending the next forever' could be interpreted as a reference to his death. This could be seen as disrespectful or demeaning, particularly to those who respected him, potentially falling under 'Assaults on Human Dignity.' However, it does not contain explicit calls for violence or vulgar language. The ambiguity of the phrase and its potential to be interpreted as offensive or not leads to a moderate level of disagreement among annotators.","The post refers to John McCain, a public figure, and the phrase 'where McCain will be spending the next forever' could be interpreted as a reference to his death. This could be seen as disrespectful or demeaning, particularly to those who respected him, potentially falling under 'Assaults on Human Dignity.' However, it does not contain explicit calls for violence or vulgar language. The ambiguity of the phrase and its potential to be interpreted as offensive or not leads to a moderate level of disagreement among annotators.",0.4
197,197,2998,"None of this means I am against whites claiming to be Gods' chosen. I think it is stupid, not true, and exactly what we've been told not to do, and none of it ever ends well, but if everyone is going to get in on this game, it seems stupid too, that we wouldn't say the same thing. Or that we should be allowed to.",0.0,1.0,0.4,0.6,"The post discusses the idea of different groups claiming to be 'God's chosen' and expresses a critical view of such claims. It does not explicitly demean or degrade any group, nor does it call for violence. However, it touches on a sensitive topic related to racial or ethnic superiority, which could be interpreted as offensive or problematic by some. The language is not overtly vulgar or offensive, but the subject matter could lead to differing interpretations. Therefore, there is likely to be some disagreement among annotators, but not extremely high.","The post discusses the concept of different groups claiming to be 'God's chosen' and expresses a critical view of such claims. It does not explicitly demean or degrade any group, nor does it call for violence. However, it touches on a sensitive topic related to racial or ethnic superiority, which could be interpreted as offensive or problematic by some. The language is not overtly vulgar or offensive, but the subject matter could lead to differing interpretations. Therefore, there is likely to be some disagreement among annotators, but not extremely high. The predicted percentages of annotators who classify the post as hate speech vs. not hate speech are [0.4, 0.6].",0.4
214,214,3086,I bet if Anderson would've asked Stormy how many times she had sex with Hillary those saucers would get really big! Even Anderson would enjoy it because that's how he rolls.,0.0,1.0,0.4,0.6,"The post contains a suggestive and potentially offensive insinuation about public figures, which could be interpreted as vulgar or offensive. However, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. The ambiguity lies in the interpretation of the innuendo and whether it is considered offensive enough to be classified as hate speech. This could lead to moderate disagreement among annotators.","The post makes a suggestive comment about public figures, which could be seen as offensive or vulgar. However, it does not explicitly attack or demean individuals based on race, ethnicity, gender, religion, or other protected characteristics. It also does not call for violence. The post's content is more likely to be interpreted as a crude joke rather than hate speech, leading to moderate disagreement among annotators. Therefore, the predicted percentages are [0.4, 0.6].",0.4
215,215,3092,Muslim family knocks out Dutch police officer in large fight ,0.0,1.0,0.4,0.6,"The post mentions a 'Muslim family' in the context of a violent incident, which could be interpreted as an attempt to associate a religious group with violence. This could be seen as an assault on human dignity by implying negative stereotypes about Muslims. However, the post does not explicitly call for violence or use vulgar language. The focus on the religious identity of the family involved in the incident may lead to some annotators viewing it as hate speech, while others may see it as a factual report of an event without hateful intent. This results in moderate disagreement among annotators.","The post mentions a 'Muslim family' in the context of a violent incident, which could be interpreted as an attempt to associate a religious group with violence. This could be seen as an assault on human dignity by implying negative stereotypes about Muslims. However, the post does not explicitly call for violence or use vulgar language. The focus on the religious identity of the family involved in the incident may lead to some annotators viewing it as hate speech, while others may see it as a factual report of an event without hateful intent. This results in moderate disagreement among annotators.",0.4
216,216,3132,"https://youtu.be/WHl34gFGC_4 Q Anon Predicted Bad Event After Horowitz, Huber, Jordan Criminal Findings on DOJ/FBI, Congressional Oversight Requests, Weiner Unsealed Warrant & Terrible May For Pope #SantaFeFalseFlag #QAnon #TrumpReinstatesGagOrderOnPlannedParenthood #ExecutiveOrderToSeizePropertyOfSeriousHumanRightsAbusers",0.0,1.0,0.4,0.6,"The post references a conspiracy theory (QAnon) and includes hashtags that suggest a false flag operation and political actions. While it does not directly assault human dignity or call for violence, the use of conspiracy theories and politically charged language could be seen as offensive or harmful by some. The ambiguity and context-specific nature of the content may lead to varying interpretations among annotators, resulting in moderate disagreement.","The post includes references to QAnon, a conspiracy theory, and uses hashtags like #SantaFeFalseFlag, which could be interpreted as offensive or harmful. However, it does not directly assault human dignity or call for violence. The content is ambiguous and context-specific, leading to moderate disagreement among annotators.",0.4
225,225,3212,"finally, they no longer coddle the people whom wish to cause them harm ",0.0,1.0,0.4,0.6,"The post is somewhat ambiguous and could be interpreted in different ways. It suggests a change in treatment towards a group of people who are perceived as harmful, but it does not specify who these people are or what actions are being taken against them. This could be seen as a call for justified action against a harmful group, or it could be interpreted as a more aggressive stance that could border on hate speech, depending on the context and the group being referred to. The lack of specific offensive language or direct calls for violence suggests that not all annotators would classify it as hate speech, leading to a moderate level of disagreement.","The post ""finally, they no longer coddle the people whom wish to cause them harm"" is somewhat ambiguous. It implies a change in behavior towards a group perceived as harmful, but it doesn't specify who these people are or what actions are being taken. This could be interpreted as a justified stance against a harmful group or as a more aggressive, potentially hateful sentiment, depending on the context. The lack of specific offensive language or direct calls for violence suggests that not all annotators would classify it as hate speech, leading to a moderate level of disagreement. Therefore, I predict the percentages of annotators who classify the post as hate speech vs. not hate speech to be [0.4, 0.6].",0.4
228,228,3251,Fantastic investigative work done by Corey Lynn: Connecting the dots between the global warming scam and child trafficking..Clinton connection of course. Shipwrecked on Ten Islands with Clinton's and Brandson https://coreysdigs.com/clinton-foundation/shipwrec...,0.0,1.0,0.4,0.6,"The post makes a controversial claim by linking global warming, child trafficking, and the Clinton Foundation, which could be seen as an assault on human dignity by implying criminal activity without evidence. However, it does not contain explicit calls for violence or vulgar language. The post's content is likely to be interpreted differently based on political views and beliefs about the mentioned topics, leading to a moderate level of disagreement among annotators.","The post suggests a conspiracy involving global warming, child trafficking, and the Clinton Foundation, which could be seen as an attack on the dignity of those involved by implying criminal activity without evidence. However, it does not contain explicit calls for violence or vulgar language. The post's content is likely to be interpreted differently based on political views and beliefs about the mentioned topics, leading to a moderate level of disagreement among annotators.",0.4
248,248,3492,https://amp.theguardian.com/commentisfree/2018/oct/11/tommy-robinson-photos-british-army-far-right ,0.0,1.0,0.4,0.6,"The post is a link to an article from The Guardian about Tommy Robinson and the British Army, which may involve discussions around far-right ideologies. While the post itself does not contain explicit hate speech, the topic is sensitive and could be interpreted differently by annotators. Some may view it as promoting or discussing hate speech due to the association with far-right ideologies, while others may see it as a neutral or informative post. This could lead to moderate disagreement among annotators.","The post is a link to an article from The Guardian about Tommy Robinson and the British Army, which may involve discussions around far-right ideologies. While the post itself does not contain explicit hate speech, the topic is sensitive and could be interpreted differently by annotators. Some may view it as promoting or discussing hate speech due to the association with far-right ideologies, while others may see it as a neutral or informative post. This could lead to moderate disagreement among annotators.",0.4
251,251,3532,"I actually do have an idea on a post about that... about how Dr. Frank N. Furter at least kept his activities behind closed doors and by invitation only, and had the decency to not parade it down Main Street or demand we bake it a cake.",0.0,1.0,0.4,0.6,"The post references Dr. Frank N. Furter, a character from 'The Rocky Horror Picture Show,' in a way that suggests criticism of public displays of certain behaviors or identities, possibly related to LGBTQ+ pride or rights. The language used ('parade it down Main Street' and 'demand we bake it a cake') can be interpreted as a critique of LGBTQ+ pride parades and the legal battles over services for same-sex weddings. This could be seen as demeaning to LGBTQ+ individuals, falling under 'Assaults on Human Dignity.' However, the post does not contain explicit vulgarity or calls for violence, and the reference to a fictional character adds a layer of ambiguity. This could lead to some disagreement among annotators about whether it constitutes hate speech.","The post makes a reference to Dr. Frank N. Furter, a character from 'The Rocky Horror Picture Show,' in a context that seems to critique public displays of certain behaviors or identities, potentially related to LGBTQ+ pride or rights. The phrases 'parade it down Main Street' and 'demand we bake it a cake' are often associated with criticisms of LGBTQ+ pride parades and legal issues surrounding services for same-sex weddings. This could be interpreted as demeaning to LGBTQ+ individuals, which falls under 'Assaults on Human Dignity.' However, the post does not contain explicit vulgarity or calls for violence, and the use of a fictional character adds a layer of ambiguity. This could result in some disagreement among annotators about whether it constitutes hate speech.",0.4
272,272,3786,"IF they do this, whew, lookout, all Trump supporters will take over!",0.0,1.0,0.4,0.6,"The post suggests a potential action by Trump supporters, which could be interpreted as a call for action or takeover. However, it lacks explicit language that directly incites violence or degrades a specific group. The ambiguity in the phrase 'take over' could lead to different interpretations, resulting in moderate disagreement among annotators. Some may view it as a harmless expression of political enthusiasm, while others might see it as a veiled threat or incitement.","The post contains ambiguous language that could be interpreted in multiple ways. The phrase 'take over' is not explicitly violent but could be perceived as a call to action, depending on the context and the reader's perspective. This ambiguity is likely to lead to moderate disagreement among annotators, with some viewing it as potentially threatening and others seeing it as non-threatening political rhetoric.",0.4
299,299,4189,"It has begun, the Left is moving for a coup before the midterms. Their plan is to remove Trump and crack down on any reaction from the Right, with foreign intervention if need be. I don't need to tell you where it leads you let that happen, America.",0.0,1.0,0.4,0.6,"The post suggests a conspiracy theory about a coup and foreign intervention, which could be seen as inflammatory and potentially inciting fear or unrest. However, it does not explicitly call for violence or use vulgar language. The language is charged and could be interpreted as an assault on the political dignity of the 'Left,' but it lacks direct hate speech elements. Annotators might disagree on whether this constitutes hate speech due to its political nature and the lack of explicit calls for violence or offensive language.","The post contains charged political language and suggests a conspiracy theory about a coup and foreign intervention. While it does not explicitly call for violence or use vulgar language, it could be seen as inflammatory and potentially inciting fear or unrest. The language is charged and could be interpreted as an assault on the political dignity of the 'Left,' but it lacks direct hate speech elements. Annotators might disagree on whether this constitutes hate speech due to its political nature and the lack of explicit calls for violence or offensive language. Therefore, there is likely to be some disagreement among annotators, with a moderate percentage classifying it as hate speech.",0.4
322,322,4501,"CCW News - Dumber Than Dirt: Democrat Senator Mazie Hirono Still ""Confused"" After ICE Official Explains How Immigration Law Works http://counterculturewarrior.altervista.org",0.0,1.0,0.4,0.6,"The post refers to a Democrat Senator as 'Dumber Than Dirt,' which is a derogatory and demeaning statement. This could be seen as an assault on human dignity, particularly in the political context. However, it does not contain explicit calls for violence or use vulgar language. The post's content may lead to some disagreement among annotators, as it could be interpreted as political criticism rather than hate speech, but the derogatory language suggests a moderate level of hate speech classification.","The post uses derogatory language ('Dumber Than Dirt') to describe a Democrat Senator, which can be seen as demeaning and degrading. This falls under the aspect of assaults on human dignity, particularly in a political context. However, it does not incite violence or use vulgar language. The interpretation of this post may vary, with some seeing it as political commentary and others as hate speech, leading to moderate disagreement among annotators. Therefore, the predicted percentages are [0.4, 0.6].",0.4
