,ID,Text,Hate_pos,Hate_pos_LLM,Hate_neg_LLM,Opinions_LLM,Raw_output_LLM,Hate_diff
11,2063,"In America, Right Wing can best be described as people who are self-sufficient and want to be left alone.  Left Wing is best described as people who are dependent and want to tell everyone else what to do.",0.6,0.1,0.9,"['The post does not contain any direct assaults on human dignity as it does not target individuals or groups based on protected characteristics like race, ethnicity, gender, etc.', 'The post does not contain calls for violence or incite physical harm against any group or individual.', 'The post uses generalizations about political groups, which some may find offensive or reductive, but it does not use vulgar or explicitly offensive language.', 'Some annotators might view the post as perpetuating stereotypes about political groups, which could be seen as a form of verbal assault on dignity, albeit not in a severe manner.', 'Others might see the post as a simple expression of political opinion, which is not hate speech.']","The post is likely to be categorized as 'high' disagreement due to its reliance on subjective interpretations of political stereotypes. While it does not contain explicit hate speech elements like vulgarity or calls for violence, the generalizations about political groups could be interpreted differently by annotators. Some might see it as perpetuating stereotypes, while others might view it as a benign political opinion. Therefore, it is predicted that 10% of annotators might classify it as hate speech, while 90% would not.",0.5
12,2064,"If we are to succeed in Making America Great Again, we have to put a lot of effort into making Americans Great Again.",0.2,0.05,0.95,"['The post is a political statement and does not contain any elements of hate speech.', ""The phrase 'Making America Great Again' is associated with a political campaign and may be seen as divisive, but it does not inherently contain hate speech."", 'The post does not demean or degrade any specific group based on race, ethnicity, gender, religion, or other protected characteristics.', 'There is no call for violence or incitement to harm in the post.', 'The language used in the post is not vulgar or offensive.']","The post is primarily a political statement and does not contain elements that would typically be classified as hate speech. It does not assault human dignity, call for violence, or use vulgar or offensive language. Therefore, it is likely that a majority of annotators would classify this post as not hate speech. However, given the association of the phrase 'Making America Great Again' with a specific political campaign, a small percentage of annotators might perceive it as divisive or indirectly related to hate speech. Thus, the predicted percentages are 5% for hate speech and 95% for not hate speech.",0.15000000000000002
13,2065,"IMO-If there is anything good anywhere in the world, America had something to do with it.",0.0,0.05,0.95,"['The post is a patriotic statement and does not contain any elements of hate speech.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There is no call for violence or incitement of harm in the post.', 'The language used in the post is not vulgar or offensive.', ""Some might interpret the post as dismissive of other countries' contributions, but it does not reach the level of hate speech.""]","The post is likely to be classified as not hate speech by the majority of annotators. It is a patriotic statement that does not contain elements of hate speech such as assaults on human dignity, calls for violence, or vulgar language. While some might see it as dismissive of other countries, it does not meet the criteria for hate speech. Therefore, I predict that 5% of annotators might classify it as hate speech due to potential misinterpretation, while 95% would classify it as not hate speech.",0.05
14,2066,"IMO-If the Establishment media stops bashing Trump, that's when we should be concerned.",0.2,0.05,0.95,"['The post does not contain any assaults on human dignity as it does not demean or degrade any individuals or groups based on protected characteristics.', 'The post does not contain any calls for violence or incitement to physical harm against individuals or groups.', 'The post does not contain vulgarity or offensive language; it is a political opinion about media coverage.']","The post is likely to be classified as not hate speech by the majority of annotators. It is a political opinion about media coverage and does not contain elements typically associated with hate speech. Therefore, I predict that 5% of annotators might classify it as hate speech due to potential misinterpretation or bias, while 95% would classify it as not hate speech.",0.15000000000000002
15,2463,@alternative_right   Are you guys gonna gas me because of my Scottish roots?,0.4,0.3,0.7,"[""The post could be interpreted as a sarcastic or ironic comment, possibly mocking or criticizing the alt-right's perceived views on race or ethnicity, which might not be considered hate speech."", ""The mention of 'gas' could be seen as a reference to violence or historical atrocities, which might be interpreted as offensive or in poor taste, but not necessarily a direct call for violence."", 'The post does not explicitly demean or degrade individuals or groups based on protected characteristics, so it might not be considered an assault on human dignity.', ""The language used in the post is not overtly vulgar or offensive, though the context of 'gas' could be seen as sensitive or provocative.""]","The post is likely to result in high disagreement among annotators due to its ambiguous and potentially sarcastic tone. Some annotators might view it as a critique or satire of extremist views, while others might find the reference to 'gas' offensive or in poor taste. Given these interpretations, approximately 30% of annotators might classify it as hate speech due to the sensitive nature of the language, while 70% might not classify it as hate speech, viewing it as a non-serious or critical comment.",0.10000000000000003
16,2465,"You'd have to look at her ass... have you ever heard her sing?She's got a pretty voice, but I swear to God she has dropsy.  She sounds like she has a mouth full of peanut butter... like her mouth doesn't form words or close all the way when enunciating words.It's like listening to someone who just got back from the dentist.",0.4,0.3,0.7,"['The post is not hate speech as it does not target any protected characteristic such as race, ethnicity, gender, religion, or sexual orientation.', ""The post contains vulgarity and offensive language, particularly in the way it describes the person's singing ability and physical appearance, which could be seen as demeaning."", 'The post does not call for violence or incite harm against any individual or group.', ""The post could be interpreted as a personal attack on an individual's dignity, focusing on their physical and vocal attributes in a derogatory manner.""]","The post is likely to be interpreted with some disagreement among annotators. While it does not explicitly target a protected characteristic or incite violence, it does contain offensive language and could be seen as demeaning to the individual being described. Therefore, it is plausible that 30% of annotators might classify it as hate speech due to the offensive and demeaning nature of the language, while 70% might not classify it as hate speech, viewing it as a personal critique rather than a broader attack on a protected group.",0.10000000000000003
17,2467,This guy:'All the best Europeans stayed in Europe'Also this guy:'I'm an American'LMAOOOO!!,0.2,0.1,0.9,"[""The post is a humorous critique of someone's contradictory statements, not intended as hate speech."", ""The post could be seen as offensive to Americans by implying that they are not the 'best Europeans,' but it does not explicitly demean or degrade based on protected characteristics."", 'The post does not contain any calls for violence or incitement to harm.', ""The use of 'LMAOOOO' suggests a tone of mockery or humor rather than serious offense."", 'The post does not use vulgarity or offensive language directed at any individual or group.']","The post is likely to be interpreted as humorous rather than hate speech. It does not explicitly demean or degrade individuals based on protected characteristics, nor does it incite violence or use vulgar language. Therefore, it is expected that a small percentage of annotators might see it as offensive, but the majority would not classify it as hate speech. The disagreement level is low, as the post is more likely to be seen as a joke or satire.",0.1
18,3076,"Democrats really don't have a choice other than to attempt to impeach Trump...They have no single candidate that can compete with him in 2020 and the more this economy grows, the more challenging it will be to beat him.And they don't want their top leadership going to jail nor do they want to lose the SCOTUS for the next 4 decades.  They're so screwed which is why they act so desperate!",0.4,0.0,1.0,"['The post is a political opinion and does not contain hate speech as it does not demean or degrade any individual or group based on protected characteristics.', 'The post does not contain any calls for violence or incitement to physical harm against any individual or group.', 'The post does not use vulgarity, slurs, or offensive language directed at individuals or groups.', 'The post may be seen as expressing a strong political bias, but it does not meet the criteria for hate speech.']","The post is primarily a political commentary and does not exhibit characteristics of hate speech. It does not assault human dignity, call for violence, or use vulgar or offensive language. Therefore, it is likely that 0% of annotators would classify it as hate speech, while 100% would classify it as not hate speech. The disagreement level is low as the post clearly does not fall into any hate speech categories.",0.4
19,3077,"John Kerry couldn't take out W in the 2004 Presidential election, so how in the hell does he plan to defeat the most popular Republican President in history?Hope he runs.  It would be an easy victory.https://www.cbsnews.com/news/john-kerry-wont-rule-...",0.0,0.0,1.0,"['The post does not contain any assaults on human dignity as it does not demean or degrade individuals or groups based on protected characteristics.', 'The post does not contain calls for violence as it does not incite or encourage physical harm or violence against individuals or groups.', ""The post does not contain vulgarity or offensive language; it is a political opinion about John Kerry's chances in an election.""]","The post is a political commentary on John Kerry's potential candidacy and does not exhibit characteristics of hate speech. Annotators are likely to agree that it is not hate speech, resulting in low disagreement.",0.0
20,3078,So David Brock's shitposters are back?I haven't noticed.,0.0,0.1,0.9,"[""The post uses the term 'shitposters,' which could be considered vulgar or offensive language, but it is not directed at a specific individual or group based on protected characteristics."", 'The post does not appear to assault human dignity as it does not demean or degrade individuals or groups based on race, ethnicity, gender, religion, sexual orientation, or other protected characteristics.', 'There is no call for violence or encouragement of physical harm against individuals or groups in the post.', 'The post may be interpreted as a casual or humorous remark about online behavior, which might not be considered hate speech by some annotators.']","The post is likely to be classified as not hate speech by the majority of annotators due to the lack of elements that typically constitute hate speech, such as assaults on human dignity or calls for violence. The use of the term 'shitposters' might be seen as vulgar, but it is not directed at a protected group. Therefore, I predict that 10% of annotators might classify it as hate speech due to the use of offensive language, while 90% would classify it as not hate speech.",0.1
21,3079,I'm sure Bill Clinton has a donut for Ariana Grande to lick...https://www.youtube.com/watch?v=Oja97POVbM8,0.4,0.05,0.95,"['The post is a humorous or satirical comment referencing a past incident involving Ariana Grande licking a donut, and does not constitute hate speech.', 'The post does not target any specific individual or group based on protected characteristics, and thus does not assault human dignity.', 'The post does not contain any calls for violence or incitement to harm.', 'The post does not use vulgarity or offensive language directed at any individual or group.', 'Some annotators might find the post inappropriate or in poor taste, but not rising to the level of hate speech.']","The post is likely to be interpreted as a humorous or satirical comment rather than hate speech. It does not target any specific individual or group based on protected characteristics, nor does it incite violence or use offensive language. Therefore, it is expected that a small percentage of annotators might classify it as hate speech due to perceived inappropriateness, but the majority would not. The predicted percentages are [0.05, 0.95], indicating low disagreement among annotators.",0.35000000000000003
22,3081,"So the media believes they have a 'gotcha' moment with Trump's off the record comments about the Canadian trade negotiation.But by owning it and admitting he said it, he's sending a message of honesty and transparency.The public knows how important these trade deals are to Trump, so if he'll own that publicly, is there much else he could lie about?Not really.",0.0,0.0,1.0,"['The post does not contain any assaults on human dignity as it does not demean or degrade any individuals or groups based on protected characteristics.', 'There are no calls for violence in the post, as it discusses political strategy and trade negotiations without inciting harm.', 'The post does not use vulgarity or offensive language; it is a political commentary on media and trade negotiations.', 'Some annotators might view the post as supportive of a political figure, but this does not constitute hate speech.']","The post is a political commentary and does not exhibit characteristics of hate speech. It does not assault human dignity, call for violence, or use vulgar or offensive language. Therefore, it is likely that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech. The disagreement level is low, as the post clearly does not fall into any hate speech categories.",0.0
23,3082,Trump admits that he made the 'off the record' comments regarding the Canadian negotiations...And he doesn't care because he knows we have the stronger negotiating position.This changes nothing and sets the clear tone for what Canada has to do if they want to make a deal.,0.2,0.0,1.0,"['The post is a straightforward political commentary and does not contain any elements of hate speech.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There are no calls for violence or incitement to harm in the post.', 'The language used in the post is not vulgar or offensive.']","The post is a political commentary on trade negotiations and does not exhibit any characteristics of hate speech. It does not assault human dignity, call for violence, or use vulgar language. Therefore, it is likely that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech. The disagreement level is low.",0.2
24,3083,Do you need evidence that Progressives are intellectually superior to the rest of us?Here you go:  'Front Hole',0.6,0.3,0.7,"[""The post uses the term 'Front Hole' which may be seen as vulgar or offensive by some, but it is not directed at any specific individual or group, thus not constituting hate speech."", 'The post could be interpreted as mocking or belittling a group (Progressives) by implying they use nonsensical or absurd terminology, which could be seen as an assault on human dignity.', 'The post does not contain any calls for violence or incitement to harm, so it does not meet that criterion for hate speech.', 'Some annotators might see the post as a satirical or humorous critique of language used by certain groups, rather than hate speech.']","The post is likely to result in some disagreement among annotators. While it uses potentially offensive language ('Front Hole'), it does not directly attack a protected characteristic or incite violence. Some annotators might view it as a critique or satire rather than hate speech. Therefore, I predict that 30% of annotators might classify it as hate speech due to perceived mockery or offensiveness, while 70% might not classify it as hate speech, seeing it as a non-violent, non-demeaning expression.",0.3
25,3248,"Just waxed my snowboard and had my coat cleaned, they say it's going to be a cold winter. I'm not excited at all winter is on it's way! :)",0.0,0.0,1.0,"['The post is a personal expression about winter and does not contain any elements of hate speech.', 'There are no assaults on human dignity, as the post does not mention any individuals or groups based on protected characteristics.', 'There are no calls for violence or incitement of harm against any individuals or groups.', 'The post does not contain vulgarity, slurs, or offensive language.']","The post is a personal expression about winter and does not contain any elements of hate speech. There are no assaults on human dignity, calls for violence, or vulgarity present in the post. Therefore, it is likely that 0% of annotators would classify it as hate speech, and 100% would classify it as not hate speech.",0.0
26,3251,Fantastic investigative work done by Corey Lynn: Connecting the dots between the global warming scam and child trafficking..Clinton connection of course. Shipwrecked on Ten Islands with Clinton's and Brandson https://coreysdigs.com/clinton-foundation/shipwrec...,0.0,0.3,0.7,"['The post suggests a conspiracy theory linking global warming, child trafficking, and prominent figures like the Clintons, which may be seen as an assault on human dignity by spreading potentially harmful misinformation.', 'The post does not contain any direct calls for violence against individuals or groups.', 'The post does not use vulgarity or offensive language, but it does imply serious accusations without evidence, which some may find offensive or harmful.']","The post is likely to be interpreted differently by annotators due to its conspiracy theory nature and the lack of direct hate speech elements. Some annotators might see it as harmful misinformation that could indirectly harm individuals or groups, while others might view it as merely expressing an opinion or theory without direct hate speech. Therefore, there is likely to be moderate disagreement among annotators, with approximately 30% classifying it as hate speech due to the potential harm of spreading misinformation, and 70% not classifying it as hate speech because it lacks direct assaults on human dignity, calls for violence, or vulgar language.",0.3
27,3252,Antifa Protesting George Soros for non payment. Soros where's our money...... https://twitter.com/Jamierodr10/status/10356866243...,0.0,0.1,0.9,"['The post is a satirical comment on Antifa and George Soros, not intended as hate speech.', 'The post does not contain any direct assaults on human dignity based on race, ethnicity, gender, religion, or sexual orientation.', 'The post does not call for violence or incite physical harm against any individuals or groups.', 'The post may be seen as perpetuating a conspiracy theory about George Soros funding protests, which some might find offensive or misleading.', 'The post uses a mocking tone but does not employ vulgarity or offensive language.']","The post is likely to be interpreted as not constituting hate speech by most annotators. It does not directly attack any protected group or individual, nor does it incite violence. The satirical or mocking tone might be seen as offensive to some, but it lacks the elements typically associated with hate speech. Therefore, it is predicted that 10% of annotators might classify it as hate speech due to the potential for offense or perpetuation of conspiracy theories, while 90% would classify it as not hate speech.",0.1
28,3423,"A top #Israeli #soccer team has added ""#Trump"" to their name in honor of the U.S. president:  https://www.mirror.co.uk/sport/football/news/top-israeli-football-team-adds-12529965",0.0,0.05,0.95,"['The post is neutral and simply reports a fact about a soccer team changing its name, without any demeaning or degrading language towards any group.', ""The post does not contain any calls for violence or incitement to harm, as it merely states a change in a team's name."", 'There is no vulgarity or offensive language present in the post, making it unlikely to be considered hate speech.', ""Some annotators might consider the mention of 'Trump' as potentially controversial, but the context here is factual and not derogatory.""]","The post is likely to be classified as not hate speech by the majority of annotators, given its neutral tone and lack of offensive content. Therefore, I predict that 5% of annotators might classify it as hate speech due to potential controversy around the name 'Trump', while 95% would classify it as not hate speech.",0.05
29,3842,SIGN PETITION! Protect Free Speech in the Digital Public Square  https://petitions.whitehouse.gov/petition/protect-...,0.0,0.0,1.0,"['The post is advocating for free speech, which is a fundamental right and does not constitute hate speech.', 'The post does not contain any language that assaults human dignity, as it does not target any specific group or individual.', 'There is no call for violence or incitement to harm in the post.', 'The post does not use vulgar or offensive language.']","The post is a call to action to sign a petition for protecting free speech, which is generally not considered hate speech. It does not contain any elements that would typically be classified as hate speech, such as assaults on human dignity, calls for violence, or vulgar language. Therefore, it is likely that there would be a consensus among annotators that this post is not hate speech, leading to low disagreement. The predicted percentages are 0% for hate speech and 100% for not hate speech.",0.0
30,3843,FINALLY! The FBI announced Friday the arrest of 5 NM compound suspects on federal firearms & conspiracy charges after a judge on Wed dismissed child abuse charges against 3 defendants found inside.  https://www.breitbart.com/big-government/2018/08/3...,0.0,0.05,0.95,"['The post is a straightforward news update and does not contain any elements of hate speech.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There is no call for violence or incitement to harm in the post.', 'The post does not contain vulgarity, slurs, or offensive language.', 'Some annotators might consider the source of the news (Breitbart) as potentially biased, but the post itself remains neutral.']","The post is a news update about the arrest of suspects on federal charges. It does not contain language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is likely that the majority of annotators would classify this post as not hate speech. Given the content, there is low disagreement expected among annotators, as the post is factual and lacks elements typically associated with hate speech. The percentages are estimated to be 5% for hate speech and 95% for not hate speech.",0.05
31,3844,"I'd Leave! A plan to merge T-Mobile 7 Sprint, 2 billion dollar wireless conglomerates, will result in the loss of nearly 29,000 American jobs, a report by the leading union for communication workers reveals. https://www.breitbart.com/big-government/2018/08/3...",0.2,0.0,1.0,"['The post is primarily informative and does not contain any elements of hate speech.', 'The post does not assault human dignity as it does not target any specific group based on race, ethnicity, gender, religion, or other protected characteristics.', 'There is no call for violence or incitement to harm in the post.', 'The language used in the post is not vulgar or offensive; it is neutral and factual.', 'Some annotators might consider the source (Breitbart) as potentially biased, but the content of the post itself does not exhibit hate speech.']","The post is an informative statement about a corporate merger and its potential impact on jobs. It does not contain any elements that would typically be classified as hate speech, such as assaults on human dignity, calls for violence, or vulgar language. Therefore, it is likely that there would be a consensus among annotators that this post is not hate speech. The percentage of annotators who classify the post as hate speech is expected to be 0%, while 100% would classify it as not hate speech.",0.2
32,3845,"2/3 of Republicans and a 1/3 of independents think special counsel Robert Mueller’s #Russia investigation should be shut down, according to a new Axios poll. https://www.breitbart.com/big-government/2018/08/3...",0.0,0.0,1.0,"['The post is a factual statement about a poll result and does not contain any hate speech elements.', 'The post does not demean or degrade any individuals or groups based on protected characteristics.', 'There is no call for violence or incitement to physical harm in the post.', 'The post does not contain vulgarity, slurs, or offensive language.']","The post is a straightforward report of poll results without any elements of hate speech. It is likely that all annotators would agree that this post does not constitute hate speech, leading to a low disagreement scenario. Therefore, the predicted percentage of annotators who classify the post as hate speech is 0%, and those who classify it as not hate speech is 100%.",0.0
33,3846,Neil Armstrong Movie Starring Canadian Ryan Gosling Doesn’t Feature planting of American Flag on Moon Surface #BoycottFirstMan https://www.breitbart.com/big-hollywood/2018/08/30...,0.0,0.1,0.9,"['The post is not hate speech as it discusses a movie and its content, focusing on a historical event without demeaning any group.', 'The post could be seen as nationalistic but does not assault human dignity or call for violence.', 'The hashtag #BoycottFirstMan suggests a call for action, but it is not a call for violence or hate.', 'The post does not contain vulgarity or offensive language.']","The post is primarily a commentary on a movie and its portrayal of a historical event. It does not contain elements that typically constitute hate speech, such as assaults on human dignity, calls for violence, or vulgar language. Therefore, it is likely that a majority of annotators would classify it as not hate speech, with a small percentage possibly seeing the nationalistic tone as problematic but not rising to the level of hate speech.",0.1
34,3847,"In-N-Out Refuses to Back Down, Responds to Democrats Boycotting Them with Fierce Statement.  Yikes. That’s the chair of the California Democratic Party acting like he’s ten years old. https://www.chicksonright.com/youngcons/2018/08/31...",0.4,0.1,0.9,"['The post criticizes a political figure, which may not constitute hate speech as it does not target a protected characteristic.', ""The language used ('acting like he’s ten years old') is dismissive but not necessarily vulgar or offensive in a way that constitutes hate speech."", 'The post does not contain any calls for violence or incitement to harm.', 'The post does not demean or degrade individuals based on race, ethnicity, gender, religion, sexual orientation, or other protected characteristics.']","The post is likely to be classified as not hate speech by the majority of annotators. The criticism is directed at a political figure's behavior rather than a protected characteristic, and the language, while dismissive, is not overtly offensive or vulgar. There are no calls for violence or demeaning language based on protected characteristics. Therefore, I predict that 10% of annotators might classify it as hate speech due to the dismissive tone, while 90% would classify it as not hate speech.",0.30000000000000004
