,ID,Text,Hate_pos,Seq30,Seq30_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_LLM,Hate_pos_diff
10,2063,"In America, Right Wing can best be described as people who are self-sufficient and want to be left alone.  Left Wing is best described as people who are dependent and want to tell everyone else what to do.",0.6,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post presents a simplistic and stereotypical view of political ideologies in America, characterizing the Right Wing as self-sufficient and the Left Wing as dependent. While it may be seen as biased or reductive, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use vulgar language. Therefore, it is unlikely to be classified as hate speech by most annotators, leading to low disagreement.","The post presents a simplistic and stereotypical view of political ideologies in America, characterizing the Right Wing as self-sufficient and the Left Wing as dependent. While it may be seen as biased or reductive, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use vulgar language. Therefore, it is unlikely to be classified as hate speech by most annotators, leading to low disagreement. The labels are likely to be mostly 0s, indicating that annotators do not classify it as hate speech.",0.0,0.6
11,2064,"If we are to succeed in Making America Great Again, we have to put a lot of effort into making Americans Great Again.",0.2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a political statement that references the slogan 'Make America Great Again,' which is associated with former President Donald Trump. However, the content of the post itself does not contain any explicit or implicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It is a motivational statement about improving the country and its citizens, which is unlikely to be interpreted as hate speech. Therefore, there is likely to be low disagreement among annotators, with most classifying it as not hate speech.","The post is a motivational statement about improving the country and its citizens, which is unlikely to be interpreted as hate speech. Therefore, there is likely to be low disagreement among annotators, with most classifying it as not hate speech.",0.0,0.2
12,2065,"IMO-If there is anything good anywhere in the world, America had something to do with it.",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post expresses a positive opinion about America's influence in the world. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The statement is a subjective opinion and does not fall into any category of hate speech. Therefore, it is likely to be unanimously agreed upon by annotators as not being hate speech, resulting in low disagreement.","The post expresses a positive opinion about America's influence in the world. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The statement is a subjective opinion and does not fall into any category of hate speech. Therefore, it is likely to be unanimously agreed upon by annotators as not being hate speech, resulting in low disagreement.",0.0,0.0
13,2066,"IMO-If the Establishment media stops bashing Trump, that's when we should be concerned.",0.2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It simply expresses an opinion about the media's treatment of Trump, which is a common political commentary. There is no indication of hate speech in this post, and it is likely to be interpreted consistently by annotators as not being hate speech.","The post expresses a political opinion about the media's treatment of Trump, suggesting that if the media stops criticizing him, it would be a cause for concern. This is a subjective opinion and does not contain any elements of hate speech as defined by the aspects provided. There are no assaults on human dignity, calls for violence, or use of vulgar or offensive language. Therefore, the post is likely to be labeled consistently as not hate speech by annotators, resulting in low disagreement.",0.0,0.2
14,2467,This guy:'All the best Europeans stayed in Europe'Also this guy:'I'm an American'LMAOOOO!!,0.2,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post appears to be mocking or pointing out a contradiction in someone's statements about Europeans and Americans. It does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. The humor and irony in the post are clear, and it is unlikely to be interpreted as hate speech. Therefore, there is likely to be low disagreement among annotators, with most classifying it as not hate speech.","The post is a humorous take on a perceived contradiction in someone's statements about Europeans and Americans. It does not contain any elements that would typically be classified as hate speech, such as demeaning language, incitement to violence, or offensive language. The humor is straightforward and does not rely on any ambiguous or context-specific language that might lead to disagreement among annotators. As a result, it is expected that the majority of annotators would agree that this post is not hate speech, leading to a sequence of labels with low disagreement.",0.0,0.2
15,3077,"John Kerry couldn't take out W in the 2004 Presidential election, so how in the hell does he plan to defeat the most popular Republican President in history?Hope he runs.  It would be an easy victory.https://www.cbsnews.com/news/john-kerry-wont-rule-...",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses political figures and elections without using language that assaults human dignity, calls for violence, or includes vulgarity or offensive language. It is a straightforward political opinion without elements typically associated with hate speech. Therefore, it is likely to have low disagreement among annotators, as it does not fall into any hate speech categories.","The post is a political commentary on John Kerry's potential candidacy against a popular Republican President. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is a political opinion and does not exhibit characteristics of hate speech. Therefore, it is expected that annotators would largely agree that this post is not hate speech, resulting in low disagreement.",0.0,0.0
16,3078,So David Brock's shitposters are back?I haven't noticed.,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is vague and lacks specific content that would clearly categorize it as hate speech. It mentions 'David Brock's shitposters,' which could be interpreted as a derogatory term, but it does not directly assault human dignity, call for violence, or use vulgarity in a targeted manner. The term 'shitposters' is informal and could be seen as offensive, but it is not inherently hate speech. Therefore, the post is likely to be interpreted as not hate speech by most annotators, leading to low disagreement.","The post mentions 'David Brock's shitposters,' which could be interpreted as a derogatory term, but it does not directly assault human dignity, call for violence, or use vulgarity in a targeted manner. The term 'shitposters' is informal and could be seen as offensive, but it is not inherently hate speech. Therefore, the post is likely to be interpreted as not hate speech by most annotators, leading to low disagreement. The labels are likely to be mostly 0s, indicating not hate speech.",0.0,0.0
17,3079,I'm sure Bill Clinton has a donut for Ariana Grande to lick...https://www.youtube.com/watch?v=Oja97POVbM8,0.4,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post makes a reference to a past incident involving Ariana Grande licking a donut, which was widely publicized. The mention of Bill Clinton could be interpreted as a crude joke, but it does not directly assault human dignity, call for violence, or use vulgar or offensive language. The post is likely to be seen as a tasteless joke rather than hate speech, leading to low disagreement among annotators.","The post references a well-known incident involving Ariana Grande and makes a joke involving Bill Clinton. While the joke may be considered in poor taste, it does not directly attack any protected group or individual in a manner that would typically be classified as hate speech. The language used is not overtly vulgar or offensive, and there is no call for violence or assault on human dignity. Therefore, it is likely that annotators would agree that this post does not constitute hate speech, resulting in low disagreement.",0.0,0.4
18,3081,"So the media believes they have a 'gotcha' moment with Trump's off the record comments about the Canadian trade negotiation.But by owning it and admitting he said it, he's sending a message of honesty and transparency.The public knows how important these trade deals are to Trump, so if he'll own that publicly, is there much else he could lie about?Not really.",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses Trump's comments on Canadian trade negotiations and frames them in a positive light, emphasizing honesty and transparency. There is no language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is straightforward and unlikely to be interpreted as hate speech, leading to a consensus among annotators that it is not hate speech.","The post is a commentary on Trump's approach to trade negotiations and his perceived honesty. It does not contain any elements of hate speech as defined by the aspects provided. The language is neutral and does not target any individual or group in a derogatory manner. Therefore, it is expected that annotators would agree that this post is not hate speech, resulting in low disagreement.",0.0,0.0
19,3082,Trump admits that he made the 'off the record' comments regarding the Canadian negotiations...And he doesn't care because he knows we have the stronger negotiating position.This changes nothing and sets the clear tone for what Canada has to do if they want to make a deal.,0.2,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post discusses a political negotiation between Trump and Canada, focusing on Trump's comments and the perceived negotiating position. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is straightforward and unlikely to be interpreted as hate speech, leading to a consensus among annotators that it is not hate speech.","The post is a straightforward commentary on political negotiations and does not contain elements of hate speech. It does not demean or degrade any individuals or groups, nor does it incite violence or use offensive language. Therefore, it is likely to be classified consistently as not hate speech by annotators, resulting in low disagreement.",0.0,0.2
20,3083,Do you need evidence that Progressives are intellectually superior to the rest of us?Here you go:  'Front Hole',0.6,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post appears to be sarcastic or mocking in tone, potentially targeting 'Progressives' by using the term 'Front Hole,' which may be a reference to inclusive language for anatomy. However, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it call for violence or use vulgar language. The post's content is more likely to be interpreted as a critique or satire rather than hate speech, leading to low disagreement among annotators.","The post seems to be mocking or sarcastic towards 'Progressives' by using the term 'Front Hole,' which is likely a reference to inclusive language for anatomy. However, it does not explicitly demean or degrade individuals or groups based on race, ethnicity, gender, religion, sexual orientation, or other protected characteristics. It also does not call for violence or use vulgar language. The post's content is more likely to be interpreted as a critique or satire rather than hate speech. Therefore, it is expected that there would be low disagreement among annotators, with most likely not classifying it as hate speech.",0.0,0.6
21,3251,Fantastic investigative work done by Corey Lynn: Connecting the dots between the global warming scam and child trafficking..Clinton connection of course. Shipwrecked on Ten Islands with Clinton's and Brandson https://coreysdigs.com/clinton-foundation/shipwrec...,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post makes a controversial claim linking global warming to child trafficking and mentions the Clinton connection, which could be seen as an assault on human dignity by spreading potentially harmful conspiracy theories. However, it does not contain explicit calls for violence or vulgar language. The ambiguity and potential for different interpretations of the post's intent and impact could lead to high disagreement among annotators.","The post suggests a conspiracy theory linking global warming to child trafficking and implicates the Clintons, which could be interpreted as an assault on human dignity by spreading harmful misinformation. However, it does not explicitly call for violence or use vulgar language. The post's content is ambiguous and open to interpretation, which may lead to high disagreement among annotators regarding whether it constitutes hate speech.",0.1,0.1
22,3252,Antifa Protesting George Soros for non payment. Soros where's our money...... https://twitter.com/Jamierodr10/status/10356866243...,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a satirical comment on Antifa and George Soros, suggesting that Antifa is protesting Soros for not paying them. It does not contain any direct assaults on human dignity, calls for violence, or vulgar/offensive language. The post is likely to be interpreted as a joke or satire rather than hate speech, leading to low disagreement among annotators.","The post is a satirical comment on Antifa and George Soros, suggesting that Antifa is protesting Soros for not paying them. It does not contain any direct assaults on human dignity, calls for violence, or vulgar/offensive language. The post is likely to be interpreted as a joke or satire rather than hate speech, leading to low disagreement among annotators. Therefore, the labels are likely to be mostly 0s, indicating that annotators do not classify it as hate speech.",0.0,0.0
23,3423,"A top #Israeli #soccer team has added ""#Trump"" to their name in honor of the U.S. president:  https://www.mirror.co.uk/sport/football/news/top-israeli-football-team-adds-12529965",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a straightforward news report about an Israeli soccer team adding 'Trump' to their name in honor of the U.S. president. It does not contain any language or content that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is unlikely to be interpreted as hate speech, leading to a consensus among annotators that it is not hate speech.","The post is a simple news report about an Israeli soccer team adding 'Trump' to their name in honor of the U.S. president. It does not contain any elements that would typically be classified as hate speech. There are no assaults on human dignity, no calls for violence, and no vulgar or offensive language. The content is neutral and factual, making it unlikely to be interpreted as hate speech. Therefore, the disagreement among annotators is expected to be low, with most, if not all, annotators labeling it as not hate speech.",0.0,0.0
24,3842,SIGN PETITION! Protect Free Speech in the Digital Public Square  https://petitions.whitehouse.gov/petition/protect-...,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The post is a call to action to sign a petition to protect free speech in the digital public square. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is straightforward and lacks ambiguity, suggesting that annotators would likely agree that it is not hate speech.","The post is a straightforward call to action to sign a petition related to free speech. It does not contain any elements that would typically be classified as hate speech, such as demeaning language, incitement to violence, or offensive language. Therefore, it is likely that annotators would agree that this post is not hate speech, resulting in low disagreement.",0.0,0.0
