,Text,Hate,Hate_LLM,Reasoning_LLM,Raw_output_LLM,Hate_diff
10,"Jesus physically Whipped Jew loan sharks from the Temple, with a corded whip.  It was approximately 40 acres of Kosher usurers and snakes.  That’s when the hit on his life went out.   ",1,1,"The post makes a historical reference to Jesus and his actions in the temple, but it does so in a way that targets Jewish people by using derogatory terms like 'Jew loan sharks' and 'Kosher usurers and snakes.' This language degrades and demeans Jewish people, which falls under the category of assaults on human dignity. Additionally, the post uses offensive language and perpetuates harmful stereotypes about Jewish people, which is another aspect of hate speech. Given these elements, Andy would likely label this post as hate speech.","The post makes a historical reference to Jesus and his actions in the temple, but it does so in a way that targets Jewish people by using derogatory terms like 'Jew loan sharks' and 'Kosher usurers and snakes.' This language degrades and demeans Jewish people, which falls under the category of assaults on human dignity. Additionally, the post uses offensive language and perpetuates harmful stereotypes about Jewish people, which is another aspect of hate speech. Given these elements, Andy would likely label this post as hate speech.",0
11,"Carillion business in the shit. Government won't bail them out, but they'll bail out the bestie banker wankers. More jobs going and more migrants coming in. Backwards politics ",0,0,"The post expresses frustration with government policies, particularly regarding financial bailouts and immigration. It uses vulgar language ('wankers') to describe bankers, which could be considered offensive. However, the post does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it call for violence. The focus is more on criticizing government actions rather than targeting a specific group with hate speech. Therefore, Andy would likely not label this as hate speech.","The post expresses frustration with government policies, particularly regarding financial bailouts and immigration. It uses vulgar language ('wankers') to describe bankers, which could be considered offensive. However, the post does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it call for violence. The focus is more on criticizing government actions rather than targeting a specific group with hate speech. Therefore, Andy would likely not label this as hate speech.",0
12,Trump's tweet on Stormy reveals the network that tried to assassinate him. ,0,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It discusses a political figure and a conspiracy theory without using language that degrades or incites harm against any group or individual based on protected characteristics. Therefore, Andy would likely not label this as hate speech.","The post discusses a political figure and a conspiracy theory without using language that degrades or incites harm against any group or individual based on protected characteristics. Therefore, Andy would likely not label this as hate speech.",0
13,"@ComfortablySmug wrote: ""The difference between Russians and Democrats is that Russians rejected socialism.""",0,0,"The post contrasts Russians and Democrats by stating that Russians rejected socialism, implying a negative view of Democrats by associating them with socialism. However, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence or use vulgar language. The statement is more of a political opinion rather than hate speech.","The post does not meet the criteria for hate speech as it lacks demeaning language, calls for violence, or vulgarity. It is a political statement rather than an attack on a protected group.",0
14,A Lesson for the GOP: Political Appeasement Doesn’t Work ,0,0,"The post titled 'A Lesson for the GOP: Political Appeasement Doesn’t Work' does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It appears to be a political opinion piece or commentary, which is a common form of expression in political discourse. Without additional context or content that directly targets individuals or groups in a demeaning or violent manner, this post does not meet the criteria for hate speech as outlined by Andy's labeling criteria.",The post is a political commentary and does not exhibit characteristics of hate speech.,0
15,"Jews have it good here. They own just about everything. And at 2% of the population at that. Nobody is trying to kill or remove them, or take away their rights yet they go on and on ceaselessly about anti semitism. You'd think they might, just, coast.",1,1,"The post makes generalizations about Jewish people, suggesting they have undue control and influence, which can be seen as demeaning or degrading based on ethnicity. It also implies that Jewish concerns about anti-Semitism are exaggerated, which can be interpreted as dismissive of legitimate issues faced by the community. This aligns with the aspect of 'Assaults on Human Dignity.'","The post generalizes about Jewish people owning everything and questions their concerns about anti-Semitism, which can be seen as demeaning based on ethnicity. Andy would likely label this as hate speech due to its assault on human dignity.",0
16,"If she is truly a good Swede, she'll continue to say xenophobes are wrong. There seems to be no amount of migrant rape that will get apologists to admit there is a problem.   https://www.jihadwatch.org/2018/04/swedish-woman-meets-two-muslim-migrants-at-night-to-prove-xenophobes-wrong-is-brutally-raped",1,1,"The post uses a derogatory tone towards migrants, particularly Muslim migrants, by implying that they are responsible for rape. It also criticizes those who defend migrants, suggesting that they are ignoring a significant problem. This can be seen as an assault on human dignity, as it degrades a group based on their ethnicity and religion. The post does not explicitly call for violence, but it does use offensive language and perpetuates negative stereotypes about migrants. Given these aspects, Andy would likely label this post as hate speech.","The post uses a derogatory tone towards migrants, particularly Muslim migrants, by implying that they are responsible for rape. It also criticizes those who defend migrants, suggesting that they are ignoring a significant problem. This can be seen as an assault on human dignity, as it degrades a group based on their ethnicity and religion. The post does not explicitly call for violence, but it does use offensive language and perpetuates negative stereotypes about migrants. Given these aspects, Andy would likely label this post as hate speech.",0
17,If I was a doctor that could cure countries I would prescribe Belgium 1000 Charles Bronson's. An let them all go vigilante death wish style for a couple years unabated. That should clear things up.,0,1,"The post suggests a hypothetical scenario where a large number of individuals, likened to Charles Bronson's vigilante character, are unleashed on Belgium to act in a 'death wish style' manner. This implies a call for vigilante justice and violence, which can be interpreted as a call for violence against a country or its people. The language used is not overtly vulgar or offensive, but the underlying message promotes violence as a solution. Andy would likely label this as hate speech due to the call for violence aspect.","The post suggests a hypothetical scenario where a large number of individuals, likened to Charles Bronson's vigilante character, are unleashed on Belgium to act in a 'death wish style' manner. This implies a call for vigilante justice and violence, which can be interpreted as a call for violence against a country or its people. The language used is not overtly vulgar or offensive, but the underlying message promotes violence as a solution. Andy would likely label this as hate speech due to the call for violence aspect.",1
18,"3) If you are picking up leftist vibes, it's because I used to be one of the zombies. Thankfully, I realized what I was doing to myself and others and smartened up after Bernie got screwed. I was a Bernie to Trump person (they DO exist). Libertarianism is the answer. Nationalism is the answer.",1,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It discusses a personal political transformation and advocates for libertarianism and nationalism without demeaning or degrading any group. The language used is not offensive or derogatory, and there is no incitement to violence. Therefore, Andy would likely not label this as hate speech.","The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It discusses a personal political transformation and advocates for libertarianism and nationalism without demeaning or degrading any group. The language used is not offensive or derogatory, and there is no incitement to violence. Therefore, Andy would likely not label this as hate speech. Label: 0",1
19,We have to get some well known big fishes on Gab if we are ever going to surpass 5 million or more members. ,1,0,"The post does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a neutral statement about a strategy to increase membership on a social media platform. There is no indication of hate speech in this post.",The post is a neutral statement about increasing membership on a social media platform and does not exhibit any aspects of hate speech.,1
20,"If we can get Nazis away from Nazism, especially away from anti-Semitism, that is better. Nazism and anti-Semitism are the problem, not ‘true racism.’ Do not be a typical leftist liberal Antifa-type and paint ‘true racists’ and Nazis with the same brush. It is reverse psychology.",1,0,"The post discusses the distinction between Nazis, anti-Semitism, and 'true racism,' suggesting that the latter should not be conflated with Nazism and anti-Semitism. It does not appear to demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. The language used is not vulgar or offensive. The post seems to be making a point about ideological distinctions rather than promoting hate speech. Andy would likely not label this as hate speech.","The post does not exhibit any of the aspects of hate speech as defined. It discusses ideological distinctions without demeaning or inciting violence against any group. Therefore, it is not considered hate speech.",1
21,This is Japan's refugee intake. ,1,0,"The post 'This is Japan's refugee intake.' is a factual statement about Japan's refugee intake. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and does not exhibit any characteristics of hate speech. Andy would likely label this as not hate speech.",The post is a neutral statement and does not exhibit any characteristics of hate speech.,1
22,A Real 'Minority Report': Non-Whites Comprise 87% of Scotland Yard's Secretive Gangs Matrix Database of Potential Criminals  http://stuffblackpeopledontlike.blogspot.com/2018/05/a-real-minority-report-non-whites.html,1,1,"The post highlights a statistic about the racial composition of a database, which could be interpreted as an assault on human dignity by suggesting that non-whites are more likely to be potential criminals. This could be seen as demeaning or degrading to non-white individuals or groups based on race. The post does not contain explicit calls for violence or vulgar language, but the implication of racial bias in criminal profiling could be considered hate speech.","The post suggests racial bias in criminal profiling, which could be seen as demeaning to non-white groups, thus likely labeled as hate speech by Andy.",0
23,Right from the horse's ass,0,0,"The post 'Right from the horse's ass' does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. It uses a vulgar expression, but it is not directed at any specific individual or group in a way that constitutes hate speech. Andy would likely not label this as hate speech.","The post 'Right from the horse's ass' does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. It uses a vulgar expression, but it is not directed at any specific individual or group in a way that constitutes hate speech. Andy would likely not label this as hate speech.",0
24,That's Because Japan has nothing but Financially Conservative Herbivore Virgin men and they're trying to convince them to bone but it's instead making them celibate. #RobotsareComing,0,0,"The post makes a generalization about Japanese men, referring to them as 'Financially Conservative Herbivore Virgin men.' This could be seen as demeaning or degrading based on nationality and gender, which falls under the aspect of 'Assaults on Human Dignity.' However, the post does not contain calls for violence or use vulgar or offensive language. The language used is more stereotypical than explicitly hateful, which might lead to some disagreement on whether it constitutes hate speech. Given the lack of explicit offensive language or calls for violence, Andy might not label this as hate speech.","The post makes a generalization about Japanese men, referring to them as 'Financially Conservative Herbivore Virgin men.' This could be seen as demeaning or degrading based on nationality and gender, which falls under the aspect of 'Assaults on Human Dignity.' However, the post does not contain calls for violence or use vulgar or offensive language. The language used is more stereotypical than explicitly hateful, which might lead to some disagreement on whether it constitutes hate speech. Given the lack of explicit offensive language or calls for violence, Andy might not label this as hate speech.",0
25,"It's scary to see merkel let greed as EU leader and UN globalist advocate makes her blind, deaf and DUMB. She's probably the most individual responsible in causing chaos in this world after the US devil moslom got off his reign. PRAY GOD SHINE LIGHT onto THIS WORLD!!",1,0,"The post criticizes Angela Merkel, referring to her as 'blind, deaf and DUMB,' which is offensive but not necessarily hate speech. The term 'US devil moslom' is derogatory and could be interpreted as a slur against Muslims, which may fall under assaults on human dignity. However, the post does not explicitly call for violence or use vulgar language. The offensive language and potential religious slur suggest it could be labeled as hate speech, but the context is more about political criticism. Andy might see this as borderline but ultimately not hate speech due to the focus on political figures rather than a direct attack on a protected group.","The post criticizes Angela Merkel, referring to her as 'blind, deaf and DUMB,' which is offensive but not necessarily hate speech. The term 'US devil moslom' is derogatory and could be interpreted as a slur against Muslims, which may fall under assaults on human dignity. However, the post does not explicitly call for violence or use vulgar language. The offensive language and potential religious slur suggest it could be labeled as hate speech, but the context is more about political criticism. Andy might see this as borderline but ultimately not hate speech due to the focus on political figures rather than a direct attack on a protected group. Therefore, the label is 0.",1
26,By talking German the white Americans can better communicate with their white ethnic German cousins in Germany and bridge the gap. Even communication between English people and Germans may be improved - share political ideas in German.,1,0,"The post discusses the idea of white Americans and Germans communicating better by speaking German. It does not explicitly demean or degrade any group based on protected characteristics, nor does it call for violence. The language used is not vulgar or offensive. The post seems to focus on cultural or linguistic connections rather than promoting hate speech. Therefore, Andy would likely not label this as hate speech.","The post discusses the idea of white Americans and Germans communicating better by speaking German. It does not explicitly demean or degrade any group based on protected characteristics, nor does it call for violence. The language used is not vulgar or offensive. The post seems to focus on cultural or linguistic connections rather than promoting hate speech. Therefore, Andy would likely not label this as hate speech.",1
27,you haven't done those things because you spent your 20's dying your penis yellow @AndrewAnglin and all I have is this clear glass thing ,0,0,"The post contains vulgar and offensive language, specifically mentioning a private body part in a derogatory manner. However, it does not seem to target a specific group based on protected characteristics, nor does it call for violence. The offensive language is directed at an individual, which may be considered demeaning, but it lacks the broader context of hate speech as defined by the aspects provided. Andy might not label this as hate speech since it doesn't clearly fall into the categories of assaults on human dignity or calls for violence, despite the vulgarity.","The post contains vulgar and offensive language, specifically mentioning a private body part in a derogatory manner. However, it does not seem to target a specific group based on protected characteristics, nor does it call for violence. The offensive language is directed at an individual, which may be considered demeaning, but it lacks the broader context of hate speech as defined by the aspects provided. Andy might not label this as hate speech since it doesn't clearly fall into the categories of assaults on human dignity or calls for violence, despite the vulgarity.",0
