,Text,Hate,Hate_LLM,Reasoning_LLM,Raw_output_LLM,Hate_diff
15,"Jews have it good here. They own just about everything. And at 2% of the population at that. Nobody is trying to kill or remove them, or take away their rights yet they go on and on ceaselessly about anti semitism. You'd think they might, just, coast.",0,1,"The post makes generalizations about Jewish people, suggesting they own everything and are overly concerned about anti-Semitism. This can be seen as demeaning or degrading based on ethnicity, which falls under 'Assaults on Human Dignity.' The post does not explicitly call for violence or use vulgar language, but the implications about Jewish people could be considered offensive and perpetuate harmful stereotypes.","The post generalizes about Jewish people owning everything and being overly concerned about anti-Semitism, which can be seen as demeaning based on ethnicity. This falls under 'Assaults on Human Dignity.' While it doesn't call for violence or use vulgar language, it perpetuates harmful stereotypes. Therefore, Andy would likely label it as hate speech.",1
16,"If she is truly a good Swede, she'll continue to say xenophobes are wrong. There seems to be no amount of migrant rape that will get apologists to admit there is a problem.   https://www.jihadwatch.org/2018/04/swedish-woman-meets-two-muslim-migrants-at-night-to-prove-xenophobes-wrong-is-brutally-raped",0,1,"The post discusses a sensitive topic involving migrants and crime, which can be interpreted as an assault on human dignity by implying that a specific group (migrants) is inherently dangerous. The language used suggests that apologists for migrants are ignoring a significant problem, which could be seen as demeaning to both migrants and those who support them. However, the post does not explicitly call for violence or use vulgar language. Given the context and the potential for different interpretations, Andy might label this as hate speech due to the negative portrayal of migrants and the implication of a widespread issue linked to a specific group.","The post discusses a sensitive topic involving migrants and crime, which can be interpreted as an assault on human dignity by implying that a specific group (migrants) is inherently dangerous. The language used suggests that apologists for migrants are ignoring a significant problem, which could be seen as demeaning to both migrants and those who support them. However, the post does not explicitly call for violence or use vulgar language. Given the context and the potential for different interpretations, Andy might label this as hate speech due to the negative portrayal of migrants and the implication of a widespread issue linked to a specific group.",1
17,If I was a doctor that could cure countries I would prescribe Belgium 1000 Charles Bronson's. An let them all go vigilante death wish style for a couple years unabated. That should clear things up.,1,1,"The post suggests a hypothetical scenario where a large number of individuals, likened to Charles Bronson's vigilante character, are unleashed on Belgium to act in a 'death wish style.' This implies a call for vigilante justice and violence, which can be interpreted as a call for violence against a country or its people. The language used is not overtly vulgar or offensive, but the underlying message promotes violence. Andy would likely see this as a call for violence, thus labeling it as hate speech.","The post suggests a hypothetical scenario where a large number of individuals, likened to Charles Bronson's vigilante character, are unleashed on Belgium to act in a 'death wish style.' This implies a call for vigilante justice and violence, which can be interpreted as a call for violence against a country or its people. The language used is not overtly vulgar or offensive, but the underlying message promotes violence. Andy would likely see this as a call for violence, thus labeling it as hate speech. Therefore, the label is 1.",0
18,"3) If you are picking up leftist vibes, it's because I used to be one of the zombies. Thankfully, I realized what I was doing to myself and others and smartened up after Bernie got screwed. I was a Bernie to Trump person (they DO exist). Libertarianism is the answer. Nationalism is the answer.",0,0,"The post does not contain any assaults on human dignity, calls for violence, or vulgarity and offensive language. It discusses a personal political transformation and advocates for libertarianism and nationalism without demeaning or degrading any group. Therefore, Andy would likely not label this as hate speech.","The post discusses a personal political transformation and advocates for libertarianism and nationalism. It does not contain any assaults on human dignity, calls for violence, or vulgarity and offensive language. Therefore, Andy would likely not label this as hate speech.",0
19,We have to get some well known big fishes on Gab if we are ever going to surpass 5 million or more members. ,0,0,"The post discusses a strategy to increase membership on a social media platform called Gab. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is focused on growth strategy and does not exhibit any aspects of hate speech.",The post is about increasing membership on a social media platform and does not contain hate speech elements.,0
20,"If we can get Nazis away from Nazism, especially away from anti-Semitism, that is better. Nazism and anti-Semitism are the problem, not ‘true racism.’ Do not be a typical leftist liberal Antifa-type and paint ‘true racists’ and Nazis with the same brush. It is reverse psychology.",0,0,"The post discusses the distinction between Nazis, anti-Semitism, and 'true racism,' suggesting that the problem lies with Nazism and anti-Semitism. It does not appear to demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. The language used is not vulgar or offensive. The post seems to be making a political or ideological argument rather than promoting hate speech. Andy would likely not label this as hate speech.","The post discusses the distinction between Nazis, anti-Semitism, and 'true racism,' suggesting that the problem lies with Nazism and anti-Semitism. It does not appear to demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. The language used is not vulgar or offensive. The post seems to be making a political or ideological argument rather than promoting hate speech. Andy would likely not label this as hate speech.",0
21,This is Japan's refugee intake. ,0,0,"The post 'This is Japan's refugee intake.' is a factual statement that does not inherently demean or degrade individuals or groups based on protected characteristics. It does not incite or encourage violence, nor does it contain vulgar or offensive language. Without additional context or derogatory language, it is unlikely to be considered hate speech by Andy.",The post is a neutral statement about Japan's refugee intake and does not exhibit any aspects of hate speech.,0
22,A Real 'Minority Report': Non-Whites Comprise 87% of Scotland Yard's Secretive Gangs Matrix Database of Potential Criminals  http://stuffblackpeopledontlike.blogspot.com/2018/05/a-real-minority-report-non-whites.html,0,0,"The post highlights a statistic about the racial composition of a police database, which could be interpreted as an assault on human dignity by suggesting a racial bias in criminal profiling. However, it does not explicitly demean or degrade individuals or groups based on race, nor does it call for violence or use vulgar language. The post's content may be seen as controversial or provocative, but it does not clearly fall into the hate speech categories as defined. Therefore, Andy would likely not label this as hate speech.","The post discusses a statistic regarding the racial composition of a police database, which could be interpreted as suggesting racial bias. However, it does not explicitly demean or degrade individuals or groups based on race, nor does it call for violence or use vulgar language. The content may be seen as controversial or provocative, but it does not clearly fall into the hate speech categories as defined. Therefore, Andy would likely not label this as hate speech.",0
23,Right from the horse's ass,1,0,"The post 'Right from the horse's ass' does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. It uses a vulgar expression, but it is not directed at any specific individual or group in a way that constitutes hate speech. Andy would likely not label this as hate speech.",The post uses a vulgar expression but lacks elements of hate speech such as demeaning language towards protected groups or incitement to violence. Andy would likely label it as not hate speech.,1
24,That's Because Japan has nothing but Financially Conservative Herbivore Virgin men and they're trying to convince them to bone but it's instead making them celibate. #RobotsareComing,1,0,"The post makes a generalization about Japanese men, describing them as 'Financially Conservative Herbivore Virgin men.' This could be seen as demeaning or degrading based on nationality and gender, which falls under the aspect of 'Assaults on Human Dignity.' However, the language used is not overtly vulgar or offensive, and there are no calls for violence. The post may be interpreted differently based on subjective views about the severity of the stereotype, leading to potential disagreement among annotators.","The post makes a generalization about Japanese men, describing them as 'Financially Conservative Herbivore Virgin men.' This could be seen as demeaning or degrading based on nationality and gender, which falls under the aspect of 'Assaults on Human Dignity.' However, the language used is not overtly vulgar or offensive, and there are no calls for violence. The post may be interpreted differently based on subjective views about the severity of the stereotype, leading to potential disagreement among annotators. Therefore, Andy might label it as not hate speech, resulting in a label of 0.",1
25,"It's scary to see merkel let greed as EU leader and UN globalist advocate makes her blind, deaf and DUMB. She's probably the most individual responsible in causing chaos in this world after the US devil moslom got off his reign. PRAY GOD SHINE LIGHT onto THIS WORLD!!",0,1,"The post criticizes Angela Merkel, referring to her as 'blind, deaf and DUMB,' which could be seen as demeaning language. It also refers to a 'US devil moslom,' which could be interpreted as a derogatory term for a Muslim individual, potentially degrading based on religion. The post does not explicitly call for violence, but it does use offensive language. Given these elements, Andy might consider this post as containing hate speech due to the demeaning language and potential religious slur.","The post contains demeaning language towards Angela Merkel and uses a potentially derogatory term for a Muslim individual, which could be seen as degrading based on religion. While it does not explicitly call for violence, the use of offensive language and potential religious slur may lead Andy to label it as hate speech.",1
26,By talking German the white Americans can better communicate with their white ethnic German cousins in Germany and bridge the gap. Even communication between English people and Germans may be improved - share political ideas in German.,0,0,"The post discusses the idea of white Americans and Germans communicating in German to bridge cultural gaps. It does not contain any explicit demeaning or degrading language towards any group, nor does it incite violence or use vulgar or offensive language. The focus is on communication and cultural exchange, which does not fall under the aspects of hate speech as defined. Therefore, Andy would likely not label this as hate speech.","The post discusses the idea of white Americans and Germans communicating in German to bridge cultural gaps. It does not contain any explicit demeaning or degrading language towards any group, nor does it incite violence or use vulgar or offensive language. The focus is on communication and cultural exchange, which does not fall under the aspects of hate speech as defined. Therefore, Andy would likely not label this as hate speech.",0
27,you haven't done those things because you spent your 20's dying your penis yellow @AndrewAnglin and all I have is this clear glass thing ,1,0,"The post contains a personal attack directed at an individual, Andrew Anglin, with a reference to an unusual and potentially offensive action (dying one's penis yellow). However, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. The language is vulgar and offensive, but it is directed at a specific individual rather than a group. Given Andy's labeling pattern, this post would likely be considered as not constituting hate speech, as it lacks the elements of demeaning a protected group or inciting violence.","The post contains a personal attack directed at an individual, Andrew Anglin, with a reference to an unusual and potentially offensive action (dying one's penis yellow). However, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. The language is vulgar and offensive, but it is directed at a specific individual rather than a group. Given Andy's labeling pattern, this post would likely be considered as not constituting hate speech, as it lacks the elements of demeaning a protected group or inciting violence.",1
