,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_0_LLM,Hate_11_LLM,Hate_13_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff,Hate_0_diff,Hate_11_diff,Hate_13_diff
10,The trouble is Muslims will soon own everything.,1,1,1,0,"The post suggests a negative stereotype about Muslims, implying they are taking over or dominating, which can be seen as an assault on human dignity. Andy is likely to label this as hate speech due to the demeaning nature of the statement towards a religious group. Ben might also see this as hate speech because it perpetuates a harmful stereotype, although he might be less sensitive to such implications compared to Andy. Chris, on the other hand, might not label it as hate speech if he interprets it as a general statement without explicit offensive language or direct incitement to violence.",1,1,0,"Andy is likely to label the post as hate speech due to its demeaning nature towards Muslims, which can be seen as an assault on human dignity. Ben might also label it as hate speech because it perpetuates a harmful stereotype about a religious group. Chris might not label it as hate speech if he interprets it as a general statement without explicit offensive language or direct incitement to violence.",1,0,0,0,0
11,I MAY HAVE NIGHTMARES FOR THE REST OF MY LIFE AFTER SEEING THIS YOUTUBE CHANNEL.... ,1,1,1,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It appears to be an expression of personal discomfort or fear after viewing content on a YouTube channel, without any indication of hate speech. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a personal expression of fear or discomfort and does not exhibit any characteristics of hate speech. Therefore, all annotators are likely to label it as not hate speech.",0,1,1,1,0
12,Took a little searching but it was worth it.  Found what I needed.: http://www.sweetbet.com #Sweet_Bet,0,0,0,0,"The post appears to be a simple statement about finding something the user was looking for, accompanied by a link and a hashtag. There is no indication of assaults on human dignity, calls for violence, or vulgarity and offensive language. The content is neutral and does not seem to relate to any of the aspects of hate speech. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
13,"Another jew who thinks anyone gives a damn about his opinion. Since we are naming the jew, I will name this one Schleppy.",1,1,1,0,"The post contains a derogatory reference to a Jewish person, which can be seen as an assault on human dignity based on religion or ethnicity. The phrase 'naming the jew' is often associated with anti-Semitic rhetoric. Andy is likely to label this as hate speech due to the demeaning language and potential anti-Semitic undertones. Ben, who tends to label posts with clear offensive language or slurs as hate speech, is also likely to label this as hate speech. Chris, who sometimes does not label posts as hate speech unless they contain explicit calls for violence or very clear demeaning language, might not label this as hate speech, but given the context and language, he might also see it as hate speech.",1,1,1,Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 1,1,0,0,0,1
14,"Yes that to, let's face it the Clinton are evil, and those globalists buddies that want to yoke every American for the benefit of the few.  Come and take it....",0,1,0,0,"The post expresses a negative opinion about the Clintons and 'globalists,' which could be interpreted as a political opinion rather than hate speech. However, the phrase 'Come and take it' could be seen as a call to action, potentially inciting resistance or violence, depending on the context. Andy might focus on the potential for incitement and label it as hate speech. Ben might see it as a political opinion without direct hate speech elements and not label it as hate speech. Chris might also see it as a political opinion and not label it as hate speech.",1,0,0,"Andy might label the post as hate speech due to the potential incitement implied by 'Come and take it,' which could be interpreted as a call for resistance or violence. Ben might not label it as hate speech, viewing it as a political opinion without direct hate speech elements. Chris might also not label it as hate speech, seeing it as a political opinion rather than an attack on a protected group.",0,0,0,0,0
15,"Where on earth do you morons spring from? Catholicism is the truth. That is why it is in crisis. It is under deadly assault by the evil one. Many of us believe today, with good reason, that the man who calls himself Francis is an anti-Pope and that we are living in the last days. My advice to you is to find truth faith and cling to it because evil days are upon us.",1,1,0,1,"The post expresses a strong opinion about Catholicism and its current state, suggesting that it is under attack by evil forces. It refers to people as 'morons,' which could be seen as offensive, but it does not specifically target a protected group based on race, ethnicity, gender, etc. The post does not contain explicit calls for violence or use vulgar language. Andy might focus on the use of 'morons' and the strong language about the Pope, potentially seeing it as demeaning. Ben might not see it as hate speech since it lacks explicit hate speech elements like calls for violence or vulgarity. Chris might also not see it as hate speech, focusing on the lack of direct attacks on protected groups.",0,0,0,"Andy might label the post as not hate speech because, while it uses the term 'morons,' it does not explicitly demean a protected group or call for violence. Ben is likely to label it as not hate speech, as it lacks explicit hate speech elements. Chris might also label it as not hate speech, focusing on the absence of direct attacks on protected groups.",0,1,1,0,1
16,"I have little doubt that Obama started an illegal gun registration database, hid it deep in the bowels of the gubmint, & then when the usurper left the White House took it with him to share with his Che Guevara butt buddies. ",0,1,0,0,"The post contains offensive language and derogatory terms, particularly 'butt buddies,' which could be interpreted as a slur against homosexuals. It also implies a conspiracy theory involving former President Obama, which may not directly fall under hate speech but could be seen as an assault on human dignity by suggesting illegal actions without evidence. Andy tends to label posts with offensive language or conspiracy theories as hate speech, so he might label this as hate speech. Ben might focus on the offensive language and the derogatory term, leading him to label it as hate speech. Chris, however, might not see this as hate speech since it doesn't explicitly call for violence or use extremely vulgar language, and he might focus more on the conspiracy aspect, which he might not consider hate speech.",1,1,0,"Andy is likely to label the post as hate speech due to the use of offensive language and the implication of a conspiracy theory involving a public figure. Ben might also label it as hate speech because of the derogatory term 'butt buddies,' which can be seen as a slur. Chris might not label it as hate speech, as he may not find the language or the conspiracy theory aspect severe enough to constitute hate speech.",1,1,0,1,0
17,@POTUS ,0,0,0,0,"The post '@POTUS' is simply a mention of the President of the United States' official Twitter handle. It does not contain any content that could be interpreted as hate speech. There are no assaults on human dignity, calls for violence, or vulgarity/offensive language present in this post. Given its neutral nature, it is likely that all annotators would agree that this post does not constitute hate speech.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
18,"And it is truly shocking and discouraging to observe how many cowardly whites have chosen the second option.  They would rather their children face extinction at the hands of brutal, subhuman muslims than be seen as ‘racists’.",1,1,1,0,"The post contains language that degrades and dehumanizes Muslims by referring to them as 'subhuman', which is an assault on human dignity. It also implies a racial superiority of whites over Muslims, which is a classic example of hate speech. Andy is likely to label this as hate speech due to the dehumanizing language and racial implications. Ben, who tends to label posts with clear racial or ethnic demeaning language as hate speech, would also likely label this as hate speech. Chris, who sometimes does not label posts as hate speech unless they contain explicit calls for violence or vulgarity, might still label this as hate speech due to the explicit dehumanization and racial context.",1,1,1,"The post uses dehumanizing language towards Muslims, referring to them as 'subhuman', which is a clear assault on human dignity. It also suggests a racial superiority of whites, which is a form of hate speech. Andy, who is sensitive to assaults on human dignity, would likely label this as hate speech. Ben, who also considers racial demeaning language as hate speech, would likely agree. Chris, who sometimes requires more explicit calls for violence or vulgarity, might still label this as hate speech due to the clear dehumanization and racial context. Therefore, all three annotators are likely to label this post as hate speech.",1,0,0,0,1
19,"The Alt-Right are PRO-Hamas and PRO-Hezbollah for the sole reason that they're also against the Jews just like them. I mean, I myself am Anti-Zionism, but I am NOT Anti-Jew.",1,1,1,0,"The post discusses the Alt-Right's alleged support for Hamas and Hezbollah due to shared anti-Jewish sentiments. It distinguishes between Anti-Zionism and Anti-Jewish sentiment, which may be seen as an attempt to clarify a political stance. Andy might label this as hate speech due to the mention of anti-Jewish sentiment, which could be seen as an assault on human dignity. Ben might also label it as hate speech, as he tends to be sensitive to any mention of anti-Jewish sentiment. Chris, however, might not label it as hate speech, as the post attempts to make a distinction between Anti-Zionism and Anti-Jewish sentiment, which he might interpret as a political opinion rather than hate speech.",1,1,0,"Andy might label the post as hate speech due to the mention of anti-Jewish sentiment, which could be seen as an assault on human dignity. Ben might also label it as hate speech, as he tends to be sensitive to any mention of anti-Jewish sentiment. Chris, however, might not label it as hate speech, as the post attempts to make a distinction between Anti-Zionism and Anti-Jewish sentiment, which he might interpret as a political opinion rather than hate speech.",1,0,0,0,0
20,ISIS Warns of Knife Attack 'Surprises' at Concerts ,0,1,0,0,"The post reports a warning from ISIS about potential knife attacks at concerts. It does not directly assault human dignity, nor does it use vulgar or offensive language. However, it does mention a call for violence, as it references potential attacks. Andy might label it as hate speech due to the implied threat of violence. Ben might not label it as hate speech, as it is more of a news report rather than an endorsement of violence. Chris might also not label it as hate speech, viewing it as a report rather than a promotion of violence.",1,0,0,"Andy might label the post as hate speech due to the mention of violence, even though it is a report. Ben and Chris might not label it as hate speech, as it is more of a factual report rather than an incitement or endorsement of violence.",0,0,0,0,0
21,UBERMENSCHEIT: HEALTH PROTOCOLS ,0,0,0,0,"The term 'Ubermensch' is associated with Nietzsche's philosophy, often misappropriated by Nazi ideology to promote ideas of racial superiority. However, the post itself is vague and lacks context. It does not explicitly demean or degrade any group, nor does it call for violence or use vulgar language. Andy might be sensitive to the historical connotations and label it as hate speech due to potential implications of racial superiority. Ben might not see it as hate speech due to the lack of explicit offensive content. Chris might also not label it as hate speech, focusing on the absence of direct hate speech elements.",1,0,0,"The post uses the term 'Ubermensch,' which has historical connotations related to racial superiority, but the post itself is vague and lacks explicit hate speech elements. Andy might label it as hate speech due to potential implications, while Ben and Chris might not see it as hate speech due to the lack of explicit offensive content.",0,0,1,0,0
22,"Happened to me right after I called Chelsea Handler a filthy, dirty whore. Maybe that was it.",1,1,1,0,"The post uses offensive language, specifically calling Chelsea Handler a 'filthy, dirty whore,' which is a vulgar and degrading term. This could be seen as an assault on human dignity, as it targets an individual with derogatory language based on gender. Andy is likely to label this as hate speech due to the degrading language used. Ben might also label it as hate speech because of the offensive language, although he might be less consistent in labeling posts as hate speech based solely on vulgarity. Chris, on the other hand, might not label it as hate speech, as he tends to be more lenient with posts that contain offensive language but do not explicitly call for violence or target a group based on protected characteristics.",1,1,0,"Andy is likely to label the post as hate speech due to the use of degrading and offensive language towards an individual, which aligns with his tendency to label posts that demean individuals based on gender. Ben might also label it as hate speech because of the vulgarity and offensive nature of the language used. Chris, however, might not label it as hate speech, as he tends to be more lenient with posts that contain offensive language but do not explicitly call for violence or target a group based on protected characteristics.",1,0,0,0,0
23,THE SINISTER CABAL BEHIND RACE-MIXING COMMERCIALS  Four Jewish owned mega corporations control the vast majority of all advertising agencies. The Omnicom Group of New York  WPP of London  Publicis of Paris and Interpublic of New York   https://europeansworldwide.wordpress.com/2018/06/27/the-sinister-cabal-behind-race-mixing-commercials/ ,1,1,1,0,"The post suggests a conspiracy theory involving Jewish-owned corporations controlling advertising to promote race-mixing, which can be seen as an assault on human dignity by promoting anti-Semitic stereotypes. Andy is likely to label this as hate speech due to the anti-Semitic undertones and the implication of a sinister Jewish control. Ben, who tends to label posts with clear anti-Semitic content as hate speech, would also likely label this as hate speech. Chris, who is more lenient with conspiracy theories unless they are explicitly hateful, might not label this as hate speech, but given the anti-Semitic nature, he might still consider it as such.",1,1,1,"Andy is likely to label this post as hate speech due to its anti-Semitic conspiracy theory content, which assaults human dignity by promoting harmful stereotypes about Jewish people. Ben, who is sensitive to anti-Semitic content, would also likely label this as hate speech. Chris, although sometimes more lenient, might still label this as hate speech due to the clear anti-Semitic nature of the post.",1,0,0,0,1
24,Maybe Q is right maybe not but right now I hope,0,0,0,0,"The post is vague and does not explicitly mention any group or individual in a derogatory manner. It references 'Q', which could be related to QAnon, a conspiracy theory group, but the post itself does not contain any direct hate speech elements such as assaults on human dignity, calls for violence, or vulgarity. Andy might be cautious and consider the potential implications of referencing QAnon, which has been associated with harmful rhetoric, but the post itself is not explicit. Ben and Chris are likely to focus on the content of the post itself, which lacks clear hate speech indicators.",0,0,0,"The post is ambiguous and lacks explicit hate speech elements. It references 'Q', which could be related to QAnon, but does not contain direct hate speech. Andy might be cautious due to the association with QAnon, but the post itself is not explicit. Ben and Chris are likely to focus on the content, which lacks clear hate speech indicators. Therefore, all three annotators are likely to label it as not hate speech.",0,0,0,0,0
25,Some people wish for world peace.  Chris Rock wishes more white kids would get shot.  https://www.youtube.com/watch?v=fF7qzqb_wQc,1,1,0,1,"The post references a statement by Chris Rock, a comedian known for his provocative humor. The statement about wishing more white kids would get shot is likely intended as a satirical comment on racial issues and gun violence in America. Andy might interpret this as hate speech due to the mention of violence against a specific racial group, even if it's satirical. Ben might also see it as hate speech because it involves a call for violence, albeit in a satirical context. Chris, however, might not label it as hate speech, recognizing the satirical intent and the broader commentary on societal issues rather than a literal call for violence.",1,1,0,"Andy might label the post as hate speech due to the mention of violence against a specific racial group, even if it's satirical. Ben might also see it as hate speech because it involves a call for violence, albeit in a satirical context. Chris, however, might not label it as hate speech, recognizing the satirical intent and the broader commentary on societal issues rather than a literal call for violence.",1,0,0,1,1
26,Haha. @Eric_StrikerDS won't let me follow him any more because I like to remind him that the Alt-Right media embargo on @Patrick_little was RACE TREASON. ,1,1,1,0,"The post mentions 'RACE TREASON,' which could be interpreted as an assault on human dignity by suggesting betrayal based on race. However, it does not explicitly call for violence or use vulgar or offensive language. Andy might focus on the racial aspect and label it as hate speech. Ben might not see it as hate speech since it lacks explicit offensive language or calls for violence. Chris might also not label it as hate speech due to the absence of direct offensive language or incitement to violence.",1,0,0,"Andy might label the post as hate speech due to the mention of 'RACE TREASON,' which could be seen as an assault on human dignity by implying racial betrayal. Ben might not label it as hate speech because it lacks explicit offensive language or calls for violence. Chris might also not label it as hate speech for similar reasons, focusing on the absence of direct offensive language or incitement to violence.",0,1,0,1,0
27,"Ahead of pivotal Senate hearing, witnesses surface to say Christine Ford may have mistaken them for Kavanaugh ",0,0,0,0,"The post discusses a political event related to Christine Ford and Brett Kavanaugh, which was a highly publicized and contentious issue. It does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. The post seems to be reporting on a development in the case rather than expressing an opinion or making a derogatory statement. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech as it lacks the elements typically associated with hate speech.",0,0,0,"The post is a straightforward report on a political event without any elements of hate speech. Andy, Ben, and Chris would likely label it as not hate speech.",0,0,0,0,0
28,"A woman without tattoos is the new virgin. You decide what that means, ladies.",1,1,1,0,"The post makes a comparison between women with tattoos and the concept of virginity, which could be interpreted as a commentary on women's choices and societal expectations. It does not explicitly demean or degrade individuals based on protected characteristics, nor does it incite violence. However, it could be seen as perpetuating stereotypes about women and their bodies, which might be considered offensive by some. Andy might see this as a subtle form of demeaning women, while Ben and Chris might not see it as hate speech due to the lack of explicit offensive language or calls for violence.",1,0,0,"Andy might label this as hate speech because it subtly demeans women by implying that their value is tied to their appearance or choices about their bodies. Ben might not label it as hate speech because it lacks explicit offensive language or calls for violence. Chris might also not label it as hate speech for similar reasons, focusing on the lack of explicit demeaning language or incitement.",0,1,0,1,0
29,Hey ,0,1,0,0,"The post 'Hey' is a simple greeting and does not contain any content that could be interpreted as hate speech. It does not assault human dignity, call for violence, or use vulgar or offensive language. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,1,0,0
30,"You're so Jew cucked you can't even see straight.  I said despite seeing Hellstorm you still can't find empathy.  What is your ethics code with lying and blaming it on someone else?  Please elaborate on the ""virtues"" of the Katyn Massacre cover up. ",1,1,1,1,"The post uses the term 'Jew cucked,' which is a derogatory and offensive term that targets Jewish people, suggesting an assault on human dignity. It also references historical events like the Katyn Massacre in a way that could be interpreted as minimizing or distorting historical atrocities, which may be seen as offensive or harmful. Andy is likely to label this as hate speech due to the use of offensive language and potential assault on human dignity. Ben might also label it as hate speech because of the offensive language and the context of historical distortion. Chris, however, might not label it as hate speech if he focuses more on explicit calls for violence, which are not present in this post.",1,1,0,"Andy is likely to label the post as hate speech due to the use of offensive language ('Jew cucked') and the potential assault on human dignity. Ben might also label it as hate speech because of the offensive language and the context of historical distortion. Chris might not label it as hate speech if he focuses more on explicit calls for violence, which are not present in this post. Therefore, the labels would be: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0.",1,0,0,0,1
31,"""Coming to you next, Jews have found a new way to kill Aryans, and yes it will all happen in space.""",1,1,0,1,"The post suggests a conspiracy theory involving Jews allegedly finding a new way to harm Aryans, which is a clear assault on human dignity by promoting harmful stereotypes and potentially inciting fear or hatred against Jewish people. Andy is likely to label this as hate speech due to the demeaning and degrading nature of the content. Ben, who tends to label posts as hate speech when they contain clear assaults on human dignity or promote harmful stereotypes, would also likely label this as hate speech. Chris, who is more conservative in labeling posts as hate speech, might not label this as hate speech unless he perceives it as a direct call for violence or a clear assault on human dignity. However, given the context and the potential for inciting fear or hatred, Chris might also label it as hate speech.",1,1,1,"The post contains a conspiracy theory that dehumanizes and demonizes a specific group (Jews) by suggesting they are plotting harm against another group (Aryans). This is a clear assault on human dignity and promotes harmful stereotypes. Andy, Ben, and Chris are all likely to label this as hate speech due to its demeaning nature and potential to incite fear or hatred.",1,0,0,1,0
32,Your primary citizenship should be in the Kingdom of God.,0,0,0,0,"The post suggests a religious perspective, encouraging individuals to prioritize their spiritual or religious identity over national identity. It does not appear to demean or degrade any group based on protected characteristics, nor does it incite violence or use vulgar language. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech as it lacks elements of assault on human dignity, calls for violence, or offensive language.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
33,Defending Islam should be made a capital offence.,1,1,1,1,"The post suggests that defending Islam should be punishable by death, which can be interpreted as a call for violence against those who support Islam. This is a serious statement that could be seen as inciting harm against a religious group. Andy is likely to label this as hate speech due to the call for violence and assault on human dignity. Ben, who tends to be more sensitive to calls for violence, would also likely label this as hate speech. Chris, who is less likely to label posts as hate speech unless they are explicitly violent or degrading, might still see this as a call for violence and thus label it as hate speech.",1,1,1,"The post suggests a severe punishment for defending a particular religion, which can be seen as a call for violence and an assault on human dignity. Andy, Ben, and Chris are all likely to label this as hate speech due to the explicit nature of the statement.",1,0,0,0,0
34,"Hogg, Fuck you and CNN,Twitter,Facebook,HRC,SOROS,Obama,Bush to HELL!",0,1,0,0,"The post contains vulgar and offensive language directed at multiple individuals and entities, including public figures and organizations. It uses profanity and expresses a strong negative sentiment, but it does not explicitly call for violence or demean individuals based on protected characteristics. Andy tends to label posts with offensive language as hate speech, so he might label this as hate speech. Ben might focus on the lack of explicit hate speech elements like calls for violence or assaults on human dignity, so he might not label it as hate speech. Chris might also focus on the lack of specific hate speech elements and not label it as hate speech.",1,0,0,"The post uses offensive language and targets multiple public figures and organizations with a strong negative sentiment. However, it does not explicitly call for violence or degrade individuals based on protected characteristics. Andy is likely to label it as hate speech due to the vulgarity, while Ben and Chris might not label it as hate speech due to the absence of explicit hate speech elements.",0,0,0,0,0
35,"If this Muslim rapist & murderer can carry a rifle, why shouldn't we? https://www.amazon.com/Tales-Havoc-K-J-Gillispie/dp/1683480236/ref=sr_1_1?ie=UTF8&qid=1526554949&sr=8-1&keywords=tales+of+havoc+volume+1",1,1,1,1,"The post refers to a 'Muslim rapist & murderer' which can be seen as an assault on human dignity by associating negative stereotypes with Muslims. It also implies a call for violence by suggesting that if this person can carry a rifle, others should too, which can be interpreted as encouraging arming oneself potentially against Muslims. The language used is derogatory and offensive, particularly in the context of associating criminal behavior with a religious group. Andy is likely to label this as hate speech due to the clear assault on human dignity and implied call for violence. Ben might also label it as hate speech due to the offensive language and potential incitement to violence. Chris, who tends to be more lenient, might still label this as hate speech due to the explicit nature of the language and implications.",1,1,1,"Andy is likely to label this post as hate speech due to the clear assault on human dignity by associating Muslims with criminal behavior and the implied call for violence. Ben might also label it as hate speech because of the offensive language and potential incitement to violence. Chris, who is usually more lenient, might still label this as hate speech due to the explicit nature of the language and implications.",1,0,0,0,0
